# total charge: 4.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    1.8964937E-01    0.0000000E+00    3.1915382E+01
 0.0100    1.8950526E-01    2.3813933E-04    3.1755966E+01
 0.0200    1.8932369E-01    9.5164466E-04    3.1282464E+01
 0.0300    1.8909772E-01    2.1386448E-03    3.0508887E+01
 0.0400    1.8882052E-01    3.7964618E-03    2.9457815E+01
 0.0500    1.8848528E-01    5.9214396E-03    2.8159305E+01
 0.0600    1.8808511E-01    8.5087701E-03    2.6649459E+01
 0.0700    1.8761385E-01    1.1552363E-02    2.4968762E+01
 0.0800    1.8706779E-01    1.5044885E-02    2.3160279E+01
 0.0900    1.8644760E-01    1.8978054E-02    2.1267842E+01
 0.1000    1.8575883E-01    2.3343142E-02    1.9334315E+01
 0.1100    1.8501077E-01    2.8131458E-02    1.7400043E+01
 0.1200    1.8421463E-01    3.3334693E-02    1.5501550E+01
 0.1300    1.8338195E-01    3.8945130E-02    1.3670542E+01
 0.1400    1.8252387E-01    4.4955786E-02    1.1933241E+01
 0.1500    1.8165090E-01    5.1360582E-02    1.0310047E+01
 0.1600    1.8077305E-01    5.8154524E-02    8.8155122E+00
 0.1700    1.7989992E-01    6.5333912E-02    7.4585923E+00
 0.1800    1.7904087E-01    7.2896565E-02    6.2431161E+00
 0.1900    1.7820529E-01    8.0842114E-02    5.1684231E+00
 0.2000    1.7740271E-01    8.9172326E-02    4.2301050E+00
 0.2100    1.7664283E-01    9.7891386E-02    3.4207963E+00
 0.2200    1.7593534E-01    1.0700605E-01    2.7309614E+00
 0.2300    1.7528951E-01    1.1652563E-01    2.1496374E+00
 0.2400    1.7471395E-01    1.2646197E-01    1.6651005E+00
 0.2500    1.7421652E-01    1.3682933E-01    1.2654347E+00
 0.2600    1.7380438E-01    1.4764450E-01    9.3899304E-01
 0.2700    1.7348423E-01    1.5892689E-01    6.7474789E-01
 0.2800    1.7326237E-01    1.7069869E-01    4.6253744E-01
 0.2900    1.7314472E-01    1.8298484E-01    2.9321776E-01
 0.3000    1.7313653E-01    1.9581281E-01    1.5873507E-01
 0.3100    1.7324209E-01    2.0921204E-01    5.2133483E-02
 0.3200    1.7346443E-01    2.2321340E-01   -3.2486345E-02
 0.3300    1.7380537E-01    2.3784878E-01   -1.0004327E-01
 0.3400    1.7426579E-01    2.5315111E-01   -1.5457357E-01
 0.3500    1.7484600E-01    2.6915450E-01   -1.9933989E-01
 0.3600    1.7554582E-01    2.8589421E-01   -2.3694205E-01
 0.3700    1.7636438E-01    3.0340602E-01   -2.6942360E-01
 0.3800    1.7729980E-01    3.2172537E-01   -2.9836962E-01
