# total charge: 5.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    4.3459655E-01    0.0000000E+00    3.9894228E+01
 0.0100    4.3424847E-01    5.4569272E-04    3.9694709E+01
 0.0200    4.3380959E-01    2.1805648E-03    3.9102089E+01
 0.0300    4.3326268E-01    4.9000855E-03    3.8133881E+01
 0.0400    4.3259038E-01    8.6977457E-03    3.6818316E+01
 0.0500    4.3177484E-01    1.3564607E-02    3.5192968E+01
 0.0600    4.3079746E-01    1.9488818E-02    3.3302971E+01
 0.0700    4.2964082E-01    2.6455227E-02    3.1198938E+01
 0.0800    4.2829321E-01    3.4445384E-02    2.8934710E+01
 0.0900    4.2675320E-01    4.3438185E-02    2.6565087E+01
 0.1000    4.2503097E-01    5.3410967E-02    2.4143661E+01
 0.1100    4.2314531E-01    6.4340550E-02    2.1720877E+01
 0.1200    4.2111884E-01    7.6203870E-02    1.9342402E+01
 0.1300    4.1897404E-01    8.8978214E-02    1.7047881E+01
 0.1400    4.1673171E-01    1.0264138E-01    1.4870105E+01
 0.1500    4.1441126E-01    1.1717202E-01    1.2834588E+01
 0.1600    4.1203176E-01    1.3255024E-01    1.0959533E+01
 0.1700    4.0961271E-01    1.4875827E-01    9.2561495E+00
 0.1800    4.0717397E-01    1.6578105E-01    7.7292348E+00
 0.1900    4.0473503E-01    1.8360642E-01    6.3779751E+00
 0.2000    4.0231424E-01    2.0222519E-01    5.1968715E+00
 0.2100    3.9992858E-01    2.2163120E-01    4.1767284E+00
 0.2200    3.9759449E-01    2.4182187E-01    3.3056374E+00
 0.2300    3.9532909E-01    2.6279936E-01    2.5699044E+00
 0.2400    3.9315045E-01    2.8457131E-01    1.9548817E+00
 0.2500    3.9107602E-01    3.0715038E-01    1.4456797E+00
 0.2600    3.8911972E-01    3.3055201E-01    1.0277449E+00
 0.2700    3.8729010E-01    3.5479198E-01    6.8730151E-01
 0.2800    3.8559146E-01    3.7988604E-01    4.1165912E-01
 0.2900    3.8402761E-01    4.0585258E-01    1.8940066E-01
 0.3000    3.8260575E-01    4.3271691E-01    1.0467934E-02
 0.3100    3.8133787E-01    4.6051437E-01   -1.3383247E-01
 0.3200    3.8023906E-01    4.8929023E-01   -2.5088141E-01
 0.3300    3.7932373E-01    5.1909609E-01   -3.4683919E-01
 0.3400    3.7860157E-01    5.4998407E-01   -4.2676215E-01
 0.3500    3.7807498E-01    5.8200122E-01   -4.9473295E-01
 0.3600    3.7773924E-01    6.1518675E-01   -5.5399655E-01
 0.3700    3.7758546E-01    6.4957391E-01   -6.0709588E-01
 0.3800    3.7760492E-01    6.8519582E-01   -6.5600112E-01
 0.3900    3.7779251E-01    7.2209181E-01   -7.0222626E-01
 0.4000    3.7814670E-01    7.6030904E-01   -7.4692602E-01
 0.4100    3.7866512E-01    7.9989480E-01   -7.9096864E-01
 0.4200    3.7933774E-01    8.4088091E-01   -8.3498661E-01
 0.4300    3.8014316E-01    8.8327096E-01   -8.7941744E-01
 0.4400    3.8105318E-01    9.2704499E-01   -9.2455075E-01
 0.4500    3.8204483E-01    9.7218568E-01   -9.7058731E-01
 0.4600    3.8311105E-01    1.0187091E+00   -1.0176951E+00
 0.4700    3.8426006E-01    1.0666718E+00   -1.0660348E+00
 0.4800    3.8550154E-01    1.1161395E+00   -1.1157433E+00
 0.4900    3.8682986E-01    1.1671375E+00   -1.1668936E+00
 0.5000    3.8821891E-01    1.2196257E+00   -1.2194770E+00
 0.5100    3.8963409E-01    1.2735241E+00   -1.2734344E+00
 0.5200    3.9105155E-01    1.3287723E+00   -1.3287187E+00
 0.5300    3.9246719E-01    1.3853674E+00   -1.3853357E+00
 0.5400    3.9388564E-01    1.4433363E+00   -1.4433177E+00
 0.5500    3.9529676E-01    1.5026523E+00   -1.5026415E+00
 0.5600    3.9665907E-01    1.5631596E+00   -1.5631534E+00
 0.5700    3.9790588E-01    1.6245756E+00   -1.6245721E+00
 0.5800    3.9897231E-01    1.6865864E+00   -1.6865844E+00
 0.5900    3.9982481E-01    1.7489751E+00   -1.7489740E+00
 0.6000    4.0047219E-01    1.8116935E+00   -1.8116929E+00
 0.6100    4.0095054E-01    1.8748233E+00   -1.8748229E+00
 0.6200    4.0129353E-01    1.9384536E+00   -1.9384534E+00
 0.6300    4.0150857E-01    2.0025611E+00   -2.0025611E+00
 0.6400    4.0157335E-01    2.0669725E+00   -2.0669724E+00
 0.6500    4.0145193E-01    2.1314254E+00   -2.1314253E+00
 0.6600    4.0111640E-01    2.1956755E+00   -2.1956755E+00
 0.6700    4.0055880E-01    2.2595697E+00   -2.2595697E+00
 0.6800    3.9978838E-01    2.3230463E+00   -2.3230463E+00
 0.6900    3.9881948E-01    2.3860768E+00   -2.3860768E+00
 0.7000    3.9765863E-01    2.4485916E+00   -2.4485916E+00
 0.7100    3.9629737E-01    2.5104279E+00   -2.5104279E+00
 0.7200    3.9471475E-01    2.5713324E+00   -2.5713324E+00
 0.7300    3.9288858E-01    2.6310251E+00   -2.6310251E+00
 0.7400    3.9080679E-01    2.6892762E+00   -2.6892762E+00
 0.7500    3.8846877E-01    2.7459239E+00   -2.7459239E+00
 0.7600    3.8587567E-01    2.8008151E+00   -2.8008151E+00
 0.7700    3.8302090E-01    2.8537359E+00   -2.8537359E+00
 0.7800    3.7989283E-01    2.9044250E+00   -2.9044250E+00
 0.7900    3.7649009E-01    2.9526882E+00   -2.9526882E+00
 0.8000    3.7283673E-01    2.9985309E+00   -2.9985309E+00
 0.8100    3.6898342E-01    3.0421929E+00   -3.0421929E+00
 0.8200    3.6499074E-01    3.0840359E+00   -3.0840359E+00
 0.8300    3.6090403E-01    3.1243364E+00   -3.1243364E+00
 0.8400    3.5673424E-01    3.1631023E+00   -3.1631023E+00
 0.8500    3.5245553E-01    3.2000152E+00   -3.2000152E+00
 0.8600    3.4802129E-01    3.2345404E+00   -3.2345404E+00
 0.8700    3.4339081E-01    3.2661568E+00   -3.2661568E+00
 0.8800    3.3855219E-01    3.2945859E+00   -3.2945859E+00
 0.8900    3.3352815E-01    3.3198799E+00   -3.3198799E+00
 0.9000    3.2836290E-01    3.3423272E+00   -3.3423272E+00
 0.9100    3.2310192E-01    3.3622669E+00   -3.3622669E+00
 0.9200    3.1777978E-01    3.3799617E+00   -3.3799617E+00
 0.9300    3.1242159E-01    3.3956022E+00   -3.3956022E+00
 0.9400    3.0705037E-01    3.4093784E+00   -3.4093784E+00
 0.9500    3.0168979E-01    3.4215090E+00   -3.4215090E+00
 0.9600    2.9635965E-01    3.4321907E+00   -3.4321907E+00
 0.9700    2.9107046E-01    3.4415293E+00   -3.4415293E+00
 0.9800    2.8582249E-01    3.4495180E+00   -3.4495180E+00
 0.9900    2.8060789E-01    3.4560509E+00   -3.4560509E+00
 1.0000    2.7541264E-01    3.4609373E+00   -3.4609373E+00
 1.0100    2.7022029E-01    3.4639417E+00   -3.4639417E+00
 1.0200    2.6502050E-01    3.4648918E+00   -3.4648918E+00
 1.0300    2.5981921E-01    3.4638220E+00   -3.4638220E+00
 1.0400    2.5464159E-01    3.4610341E+00   -3.4610341E+00
 1.0500    2.4952327E-01    3.4570011E+00   -3.4570011E+00
 1.0600    2.4449528E-01    3.4521692E+00   -3.4521692E+00
 1.0700    2.3957310E-01    3.4467951E+00   -3.4467951E+00
 1.0800    2.3475594E-01    3.4409152E+00   -3.4409152E+00
 1.0900    2.3003452E-01    3.4344395E+00   -3.4344395E+00
 1.1000    2.2540007E-01    3.4272776E+00   -3.4272776E+00
 1.1100    2.2084861E-01    3.4194045E+00   -3.4194045E+00
 1.1200    2.1637917E-01    3.4108401E+00   -3.4108401E+00
 1.1300    2.1199025E-01    3.4015952E+00   -3.4015952E+00
