# total charge: 6.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    1.0892185E+00    0.0000000E+00    4.7873074E+01
 0.0100    1.0882062E+00    1.3674802E-03    4.7632938E+01
 0.0200    1.0869287E+00    5.4634994E-03    4.6919660E+01
 0.0300    1.0853345E+00    1.2274844E-02    4.5754263E+01
 0.0400    1.0833704E+00    2.1782455E-02    4.4170634E+01
 0.0500    1.0809801E+00    3.3959992E-02    4.2213879E+01
 0.0600    1.0781029E+00    4.8772225E-02    3.9938180E+01
 0.0700    1.0746794E+00    6.6173615E-02    3.7404298E+01
 0.0800    1.0706648E+00    8.6107970E-02    3.4676878E+01
 0.0900    1.0660421E+00    1.0850987E-01    3.1821720E+01
 0.1000    1.0608261E+00    1.3330734E-01    2.8903180E+01
 0.1100    1.0550558E+00    1.6042448E-01    2.5981837E+01
 0.1200    1.0487810E+00    1.8978294E-01    2.3112544E+01
 0.1300    1.0420524E+00    2.2130240E-01    2.0342929E+01
 0.1400    1.0349160E+00    2.5490071E-01    1.7712395E+01
 0.1500    1.0274138E+00    2.9049440E-01    1.5251617E+01
 0.1600    1.0195848E+00    3.2799950E-01    1.2982501E+01
 0.1700    1.0114678E+00    3.6733283E-01    1.0918556E+01
 0.1800    1.0031012E+00    4.0841305E-01    9.0656059E+00
 0.1900    9.9452315E-01    4.5116143E-01    7.4227363E+00
 0.2000    9.8577010E-01    4.9550209E-01    5.9834139E+00
 0.2100    9.7687621E-01    5.4136227E-01    4.7366692E+00
 0.2200    9.6787394E-01    5.8867287E-01    3.6682783E+00
 0.2300    9.5879508E-01    6.3736958E-01    2.7618749E+00
 0.2400    9.4967155E-01    6.8739406E-01    1.9999496E+00
 0.2500    9.4053540E-01    7.3869478E-01    1.3647013E+00
 0.2600    9.3141812E-01    7.9122726E-01    8.3872905E-01
 0.2700    9.2234975E-01    8.4495392E-01    4.0555826E-01
 0.2800    9.1335834E-01    8.9984380E-01    5.0010392E-02
 0.2900    9.0446974E-01    9.5587235E-01   -2.4156846E-01
 0.3000    8.9570738E-01    1.0130212E+00   -4.8119937E-01
 0.3100    8.8709218E-01    1.0712775E+00   -6.7925926E-01
 0.3200    8.7864226E-01    1.1306337E+00   -8.4454307E-01
 0.3300    8.7037301E-01    1.1910861E+00   -9.8437783E-01
 0.3400    8.6229743E-01    1.2526357E+00   -1.1047694E+00
 0.3500    8.5442655E-01    1.3152875E+00   -1.2105656E+00
 0.3600    8.4676953E-01    1.3790502E+00   -1.3056220E+00
 0.3700    8.3933332E-01    1.4439354E+00   -1.3929618E+00
 0.3800    8.3212221E-01    1.5099556E+00   -1.4749219E+00
 0.3900    8.2513764E-01    1.5771227E+00   -1.5532840E+00
 0.4000    8.1837842E-01    1.6454474E+00   -1.6293878E+00
 0.4100    8.1184112E-01    1.7149388E+00   -1.7042274E+00
 0.4200    8.0552038E-01    1.7856033E+00   -1.7785301E+00
 0.4300    7.9940893E-01    1.8574442E+00   -1.8528200E+00
 0.4400    7.9349738E-01    1.9304596E+00   -1.9274665E+00
 0.4500    7.8777404E-01    2.0046408E+00   -2.0027227E+00
 0.4600    7.8222491E-01    2.0799705E+00   -2.0787536E+00
 0.4700    7.7683410E-01    2.1564225E+00   -2.1556582E+00
 0.4800    7.7158446E-01    2.2339621E+00   -2.2334868E+00
 0.4900    7.6645815E-01    2.3125465E+00   -2.3122538E+00
 0.5000    7.6143695E-01    2.3921247E+00   -2.3919463E+00
 0.5100    7.5650203E-01    2.4726367E+00   -2.4725290E+00
 0.5200    7.5163352E-01    2.5540106E+00   -2.5539463E+00
 0.5300    7.4681049E-01    2.6361615E+00   -2.6361234E+00
 0.5400    7.4201125E-01    2.7189916E+00   -2.7189694E+00
 0.5500    7.3721415E-01    2.8023921E+00   -2.8023792E+00
 0.5600    7.3239808E-01    2.8862445E+00   -2.8862371E+00
 0.5700    7.2754255E-01    2.9704208E+00   -2.9704165E+00
 0.5800    7.2262752E-01    3.0547829E+00   -3.0547805E+00
 0.5900    7.1763324E-01    3.1391816E+00   -3.1391802E+00
 0.6000    7.1254028E-01    3.2234563E+00   -3.2234556E+00
 0.6100    7.0732991E-01    3.3074368E+00   -3.3074364E+00
 0.6200    7.0198445E-01    3.3909449E+00   -3.3909447E+00
 0.6300    6.9648767E-01    3.4737967E+00   -3.4737965E+00
 0.6400    6.9082495E-01    3.5558041E+00   -3.5558041E+00
 0.6500    6.8498342E-01    3.6367767E+00   -3.6367767E+00
 0.6600    6.7895177E-01    3.7165216E+00   -3.7165216E+00
 0.6700    6.7272018E-01    3.7948440E+00   -3.7948440E+00
 0.6800    6.6628010E-01    3.8715470E+00   -3.8715470E+00
 0.6900    6.5962440E-01    3.9464332E+00   -3.9464332E+00
 0.7000    6.5274767E-01    4.0193079E+00   -4.0193079E+00
 0.7100    6.4564653E-01    4.0899819E+00   -4.0899819E+00
 0.7200    6.3831973E-01    4.1582742E+00   -4.1582742E+00
 0.7300    6.3076793E-01    4.2240124E+00   -4.2240124E+00
 0.7400    6.2299346E-01    4.2870327E+00   -4.2870327E+00
 0.7500    6.1500025E-01    4.3471806E+00   -4.3471806E+00
 0.7600    6.0679395E-01    4.4043141E+00   -4.4043141E+00
 0.7700    5.9838199E-01    4.4583056E+00   -4.4583056E+00
 0.7800    5.8977334E-01    4.5090413E+00   -4.5090413E+00
 0.7900    5.8097799E-01    4.5564197E+00   -4.5564197E+00
 0.8000    5.7200660E-01    4.6003501E+00   -4.6003501E+00
 0.8100    5.6287056E-01    4.6407528E+00   -4.6407528E+00
 0.8200    5.5358221E-01    4.6775635E+00   -4.6775635E+00
 0.8300    5.4415522E-01    4.7107369E+00   -4.7107369E+00
 0.8400    5.3460466E-01    4.7402493E+00   -4.7402493E+00
 0.8500    5.2494687E-01    4.7660991E+00   -4.7660991E+00
 0.8600    5.1519899E-01    4.7883046E+00   -4.7883046E+00
 0.8700    5.0537847E-01    4.8069002E+00   -4.8069002E+00
 0.8800    4.9550264E-01    4.8219331E+00   -4.8219331E+00
 0.8900    4.8558849E-01    4.8334615E+00   -4.8334615E+00
 0.9000    4.7565273E-01    4.8415551E+00   -4.8415551E+00
 0.9100    4.6571192E-01    4.8462968E+00   -4.8462968E+00
 0.9200    4.5578254E-01    4.8477834E+00   -4.8477834E+00
 0.9300    4.4588082E-01    4.8461243E+00   -4.8461243E+00
 0.9400    4.3602251E-01    4.8414392E+00   -4.8414392E+00
 0.9500    4.2622277E-01    4.8338562E+00   -4.8338562E+00
 0.9600    4.1649605E-01    4.8235104E+00   -4.8235104E+00
 0.9700    4.0685611E-01    4.8105438E+00   -4.8105438E+00
 0.9800    3.9731595E-01    4.7951038E+00   -4.7951038E+00
 0.9900    3.8788774E-01    4.7773417E+00   -4.7773417E+00
 1.0000    3.7858275E-01    4.7574111E+00   -4.7574111E+00
 1.0100    3.6941127E-01    4.7354664E+00   -4.7354664E+00
 1.0200    3.6038247E-01    4.7116592E+00   -4.7116592E+00
 1.0300    3.5150418E-01    4.6861351E+00   -4.6861351E+00
 1.0400    3.4278283E-01    4.6590311E+00   -4.6590311E+00
 1.0500    3.3422355E-01    4.6304746E+00   -4.6304746E+00
 1.0600    3.2583031E-01    4.6005852E+00   -4.6005852E+00
 1.0700    3.1760619E-01    4.5694757E+00   -4.5694757E+00
 1.0800    3.0955338E-01    4.5372522E+00   -4.5372522E+00
 1.0900    3.0167316E-01    4.5040119E+00   -4.5040119E+00
 1.1000    2.9396579E-01    4.4698406E+00   -4.4698406E+00
 1.1100    2.8643046E-01    4.4348101E+00   -4.4348101E+00
 1.1200    2.7906534E-01    4.3989782E+00   -4.3989782E+00
 1.1300    2.7186771E-01    4.3623888E+00   -4.3623888E+00
 1.1400    2.6483411E-01    4.3250734E+00   -4.3250734E+00
 1.1500    2.5796054E-01    4.2870526E+00   -4.2870526E+00
 1.1600    2.5124266E-01    4.2483396E+00   -4.2483396E+00
 1.1700    2.4467616E-01    4.2089450E+00   -4.2089450E+00
 1.1800    2.3825713E-01    4.1688838E+00   -4.1688838E+00
 1.1900    2.3198235E-01    4.1281810E+00   -4.1281810E+00
 1.2000    2.2584943E-01    4.0868750E+00   -4.0868750E+00
 1.2100    2.1985679E-01    4.0450182E+00   -4.0450182E+00
 1.2200    2.1400340E-01    4.0026738E+00   -4.0026738E+00
 1.2300    2.0828857E-01    3.9599120E+00   -3.9599120E+00
 1.2400    2.0271163E-01    3.9168045E+00   -3.9168045E+00
 1.2500    1.9727172E-01    3.8734211E+00   -3.8734211E+00
 1.2600    1.9196771E-01    3.8298268E+00   -3.8298268E+00
 1.2700    1.8679817E-01    3.7860813E+00   -3.7860813E+00
 1.2800    1.8176143E-01    3.7422392E+00   -3.7422392E+00
 1.2900    1.7685559E-01    3.6983506E+00   -3.6983506E+00
 1.3000    1.7207853E-01    3.6544605E+00   -3.6544605E+00
 1.3100    1.6742794E-01    3.6106084E+00   -3.6106084E+00
 1.3200    1.6290126E-01    3.5668281E+00   -3.5668281E+00
 1.3300    1.5849574E-01    3.5231469E+00   -3.5231469E+00
 1.3400    1.5420850E-01    3.4795875E+00   -3.4795875E+00
 1.3500    1.5003657E-01    3.4361691E+00   -3.4361691E+00
 1.3600    1.4597699E-01    3.3929081E+00   -3.3929081E+00
 1.3700    1.4202683E-01    3.3498194E+00   -3.3498194E+00
 1.3800    1.3818316E-01    3.3069159E+00   -3.3069159E+00
 1.3900    1.3444308E-01    3.2642087E+00   -3.2642087E+00
 1.4000    1.3080373E-01    3.2217071E+00   -3.2217071E+00
 1.4100    1.2726224E-01    3.1794182E+00   -3.1794182E+00
 1.4200    1.2381581E-01    3.1373477E+00   -3.1373477E+00
 1.4300    1.2046166E-01    3.0954998E+00   -3.0954998E+00
 1.4400    1.1719711E-01    3.0538786E+00   -3.0538786E+00
 1.4500    1.1401958E-01    3.0124879E+00   -3.0124879E+00
 1.4600    1.1092658E-01    2.9713320E+00   -2.9713320E+00
 1.4700    1.0791571E-01    2.9304155E+00   -2.9304155E+00
 1.4800    1.0498468E-01    2.8897429E+00   -2.8897429E+00
 1.4900    1.0213124E-01    2.8493186E+00   -2.8493186E+00
 1.5000    9.9353239E-02    2.8091467E+00   -2.8091467E+00
 1.5100    9.6648561E-02    2.7692308E+00   -2.7692308E+00
 1.5200    9.4015181E-02    2.7295750E+00   -2.7295750E+00
 1.5300    9.1451148E-02    2.6901834E+00   -2.6901834E+00
 1.5400    8.8954595E-02    2.6510608E+00   -2.6510608E+00
 1.5500    8.6523743E-02    2.6122128E+00   -2.6122128E+00
 1.5600    8.4156903E-02    2.5736460E+00   -2.5736460E+00
 1.5700    8.1852464E-02    2.5353675E+00   -2.5353675E+00
 1.5800    7.9608876E-02    2.4973852E+00   -2.4973852E+00
 1.5900    7.7424632E-02    2.4597064E+00   -2.4597064E+00
 1.6000    7.5298268E-02    2.4223384E+00   -2.4223384E+00
 1.6100    7.3228372E-02    2.3852889E+00   -2.3852889E+00
 1.6200    7.1213590E-02    2.3485660E+00   -2.3485660E+00
 1.6300    6.9252620E-02    2.3121781E+00   -2.3121781E+00
 1.6400    6.7344188E-02    2.2761332E+00   -2.2761332E+00
 1.6500    6.5487038E-02    2.2404389E+00   -2.2404389E+00
 1.6600    6.3679917E-02    2.2051012E+00   -2.2051012E+00
 1.6700    6.1921582E-02    2.1701255E+00   -2.1701255E+00
 1.6800    6.0210809E-02    2.1355163E+00   -2.1355163E+00
 1.6900    5.8546408E-02    2.1012781E+00   -2.1012781E+00
 1.7000    5.6927233E-02    2.0674156E+00   -2.0674156E+00
 1.7100    5.5352180E-02    2.0339338E+00   -2.0339338E+00
 1.7200    5.3820171E-02    2.0008376E+00   -2.0008376E+00
 1.7300    5.2330140E-02    1.9681308E+00   -1.9681308E+00
 1.7400    5.0881024E-02    1.9358166E+00   -1.9358166E+00
 1.7500    4.9471762E-02    1.9038965E+00   -1.9038965E+00
 1.7600    4.8101307E-02    1.8723717E+00   -1.8723717E+00
 1.7700    4.6768630E-02    1.8412427E+00   -1.8412427E+00
 1.7800    4.5472728E-02    1.8105098E+00   -1.8105098E+00
 1.7900    4.4212623E-02    1.7801730E+00   -1.7801730E+00
