# total charge: 7.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    1.3590619E+00    0.0000000E+00    5.5851919E+01
 0.0100    1.3578789E+00    1.7063609E-03    5.5571650E+01
 0.0200    1.3563859E+00    6.8179392E-03    5.4739159E+01
 0.0300    1.3545224E+00    1.5319288E-02    5.3378975E+01
 0.0400    1.3522259E+00    2.7188115E-02    5.1530632E+01
 0.0500    1.3494299E+00    4.2393589E-02    4.9246752E+01
 0.0600    1.3460629E+00    6.0894449E-02    4.6590550E+01
 0.0700    1.3420552E+00    8.2637339E-02    4.3632913E+01
 0.0800    1.3373547E+00    1.0755645E-01    4.0449261E+01
 0.0900    1.3319428E+00    1.3557527E-01    3.7116360E+01
 0.1000    1.3258389E+00    1.6660983E-01    3.3709292E+01
 0.1100    1.3190909E+00    2.0057184E-01    3.0298733E+01
 0.1200    1.3117597E+00    2.3737043E-01    2.6948677E+01
 0.1300    1.3039059E+00    2.7691267E-01    2.3714690E+01
 0.1400    1.2955844E+00    3.1910355E-01    2.0642742E+01
 0.1500    1.2868438E+00    3.6384651E-01    1.7768617E+01
 0.1600    1.2777297E+00    4.1104447E-01    1.5117872E+01
 0.1700    1.2682867E+00    4.6060128E-01    1.2706270E+01
 0.1800    1.2585596E+00    5.1242305E-01    1.0540599E+01
 0.1900    1.2485926E+00    5.6641902E-01    8.6197950E+00
 0.2000    1.2384284E+00    6.2250200E-01    6.9362333E+00
 0.2100    1.2281074E+00    6.8058881E-01    5.4771146E+00
 0.2200    1.2176687E+00    7.4060115E-01    4.2258419E+00
 0.2300    1.2071506E+00    8.0246667E-01    3.1633186E+00
 0.2400    1.1965909E+00    8.6611995E-01    2.2691143E+00
 0.2500    1.1860263E+00    9.3150288E-01    1.5224592E+00
 0.2600    1.1754919E+00    9.9856466E-01    9.0305104E-01
 0.2700    1.1650205E+00    1.0672618E+00    3.9166907E-01
 0.2800    1.1546431E+00    1.1375583E+00   -2.9395113E-02
 0.2900    1.1443883E+00    1.2094259E+00   -3.7607136E-01
 0.3000    1.1342827E+00    1.2828435E+00   -6.6238476E-01
 0.3100    1.1243501E+00    1.3577969E+00   -9.0044220E-01
 0.3200    1.1146106E+00    1.4342769E+00   -1.1005046E+00
 0.3300    1.1050811E+00    1.5122789E+00   -1.2711193E+00
 0.3400    1.0957748E+00    1.5918018E+00   -1.4192911E+00
 0.3500    1.0867019E+00    1.6728476E+00   -1.5506720E+00
 0.3600    1.0778702E+00    1.7554211E+00   -1.6697548E+00
 0.3700    1.0692844E+00    1.8395285E+00   -1.7800593E+00
 0.3800    1.0609463E+00    1.9251761E+00   -1.8843035E+00
 0.3900    1.0528547E+00    2.0123686E+00   -1.9845569E+00
 0.4000    1.0450057E+00    2.1011086E+00   -2.0823723E+00
 0.4100    1.0373924E+00    2.1913948E+00   -2.1788982E+00
 0.4200    1.0300057E+00    2.2832217E+00   -2.2749697E+00
 0.4300    1.0228340E+00    2.3765772E+00   -2.3711823E+00
 0.4400    1.0158629E+00    2.4714414E+00   -2.4679494E+00
 0.4500    1.0090758E+00    2.5677853E+00   -2.5655475E+00
 0.4600    1.0024541E+00    2.6655695E+00   -2.6641498E+00
 0.4700    9.9597696E-01    2.7647437E+00   -2.7638519E+00
 0.4800    9.8962222E-01    2.8652451E+00   -2.8646905E+00
 0.4900    9.8336616E-01    2.9669982E+00   -2.9666568E+00
 0.5000    9.7718389E-01    3.0699137E+00   -3.0697056E+00
 0.5100    9.7104952E-01    3.1738880E+00   -3.1737624E+00
 0.5200    9.6493648E-01    3.2788026E+00   -3.2787276E+00
 0.5300    9.5881778E-01    3.3845246E+00   -3.3844803E+00
 0.5400    9.5266631E-01    3.4909063E+00   -3.4908803E+00
 0.5500    9.4645511E-01    3.5977855E+00   -3.5977704E+00
 0.5600    9.4015756E-01    3.7049859E+00   -3.7049773E+00
 0.5700    9.3374755E-01    3.8123174E+00   -3.8123125E+00
 0.5800    9.2719963E-01    3.9195761E+00   -3.9195733E+00
 0.5900    9.2048933E-01    4.0265458E+00   -4.0265443E+00
 0.6000    9.1359335E-01    4.1329989E+00   -4.1329981E+00
 0.6100    9.0648966E-01    4.2386972E+00   -4.2386967E+00
 0.6200    8.9915753E-01    4.3433920E+00   -4.3433917E+00
 0.6300    8.9157758E-01    4.4468257E+00   -4.4468255E+00
 0.6400    8.8373214E-01    4.5487332E+00   -4.5487331E+00
 0.6500    8.7560560E-01    4.6488454E+00   -4.6488454E+00
 0.6600    8.6718485E-01    4.7468927E+00   -4.7468927E+00
 0.6700    8.5845944E-01    4.8426073E+00   -4.8426073E+00
 0.6800    8.4942157E-01    4.9357252E+00   -4.9357252E+00
 0.6900    8.4006585E-01    5.0259872E+00   -5.0259872E+00
 0.7000    8.3038906E-01    5.1131386E+00   -5.1131386E+00
 0.7100    8.2039002E-01    5.1969308E+00   -5.1969308E+00
 0.7200    8.1006964E-01    5.2771230E+00   -5.2771230E+00
 0.7300    7.9943105E-01    5.3534851E+00   -5.3534851E+00
 0.7400    7.8847972E-01    5.4258006E+00   -5.4258006E+00
 0.7500    7.7722348E-01    5.4938690E+00   -5.4938690E+00
 0.7600    7.6567240E-01    5.5575073E+00   -5.5575073E+00
 0.7700    7.5383878E-01    5.6165520E+00   -5.6165520E+00
 0.7800    7.4173694E-01    5.6708607E+00   -5.6708607E+00
 0.7900    7.2938324E-01    5.7203135E+00   -5.7203135E+00
 0.8000    7.1679581E-01    5.7648140E+00   -5.7648140E+00
 0.8100    7.0399437E-01    5.8042898E+00   -5.8042898E+00
 0.8200    6.9099998E-01    5.8386925E+00   -5.8386925E+00
 0.8300    6.7783477E-01    5.8679971E+00   -5.8679971E+00
 0.8400    6.6452175E-01    5.8922021E+00   -5.8922021E+00
 0.8500    6.5108461E-01    5.9113292E+00   -5.9113292E+00
 0.8600    6.3754764E-01    5.9254237E+00   -5.9254237E+00
