# total charge: 8.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    2.0084607E+00    0.0000000E+00    6.3830765E+01
 0.0100    2.0066971E+00    2.5216900E-03    6.3509886E+01
 0.0200    2.0044710E+00    1.0075570E-02    6.2556755E+01
 0.0300    2.0016916E+00    2.2638599E-02    6.0999412E+01
 0.0400    1.9982643E+00    4.0177487E-02    5.8883045E+01
 0.0500    1.9940880E+00    6.2646122E-02    5.6267806E+01
 0.0600    1.9890535E+00    8.9982659E-02    5.3225954E+01
 0.0700    1.9830534E+00    1.2210694E-01    4.9838522E+01
 0.0800    1.9760064E+00    1.5891987E-01    4.6191729E+01
 0.0900    1.9678817E+00    2.0030596E-01    4.2373334E+01
 0.1000    1.9587051E+00    2.4613814E-01    3.8469178E+01
 0.1100    1.9485435E+00    2.9628205E-01    3.4560066E+01
 0.1200    1.9374798E+00    3.5059808E-01    3.0719171E+01
 0.1300    1.9255923E+00    4.0894124E-01    2.7010033E+01
 0.1400    1.9129478E+00    4.7116071E-01    2.3485234E+01
 0.1500    1.8996064E+00    5.3710105E-01    2.0185714E+01
 0.1600    1.8856295E+00    6.0660529E-01    1.7140728E+01
 0.1700    1.8710860E+00    6.7951876E-01    1.4368334E+01
 0.1800    1.8560498E+00    7.5569142E-01    1.1876334E+01
 0.1900    1.8405920E+00    8.3497714E-01    9.6635532E+00
 0.2000    1.8247724E+00    9.1723065E-01    7.7213240E+00
 0.2100    1.8086381E+00    1.0023056E+00    6.0350698E+00
 0.2200    1.7922322E+00    1.0900578E+00    4.5858771E+00
 0.2300    1.7756080E+00    1.1803549E+00    3.3519711E+00
 0.2400    1.7588346E+00    1.2730849E+00    2.3100400E+00
 0.2500    1.7419854E+00    1.3681521E+00    1.4363760E+00
 0.2600    1.7251114E+00    1.4654591E+00    7.0781593E-01
 0.2700    1.7082228E+00    1.5648831E+00    1.0246647E-01
 0.2800    1.6912949E+00    1.6662696E+00   -3.9979734E-01
 0.2900    1.6743013E+00    1.7694549E+00   -8.1704966E-01
 0.3000    1.6572513E+00    1.8743070E+00   -1.1652113E+00
 0.3100    1.6402083E+00    1.9807618E+00   -1.4580707E+00
 0.3200    1.6232794E+00    2.0888300E+00   -1.7073759E+00
 0.3300    1.6065809E+00    2.1985703E+00   -1.9229592E+00
 0.3400    1.5901981E+00    2.3100369E+00   -2.1128819E+00
 0.3500    1.5741590E+00    2.4232295E+00   -2.2836003E+00
 0.3600    1.5584365E+00    2.5380722E+00   -2.4401679E+00
 0.3700    1.5429760E+00    2.6544374E+00   -2.5864726E+00
 0.3800    1.5277363E+00    2.7722057E+00   -2.7254942E+00
 0.3900    1.5127188E+00    2.8913274E+00   -2.8595425E+00
 0.4000    1.4979685E+00    3.0118445E+00   -2.9904316E+00
 0.4100    1.4835381E+00    3.1338361E+00   -3.1195543E+00
 0.4200    1.4694317E+00    3.2573006E+00   -3.2478697E+00
 0.4300    1.4555716E+00    3.3820526E+00   -3.3758870E+00
 0.4400    1.4418253E+00    3.5077438E+00   -3.5037530E+00
