# total charge: 9.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    2.7955779E+00    0.0000000E+00    7.1809610E+01
 0.0100    2.7933929E+00    3.5102810E-03    7.1447948E+01
 0.0200    2.7906341E+00    1.4027257E-02    7.0373658E+01
 0.0300    2.7871880E+00    3.1522354E-02    6.8618284E+01
 0.0400    2.7829354E+00    5.5954236E-02    6.6232671E+01
 0.0500    2.7777476E+00    8.7265514E-02    6.3284493E+01
 0.0600    2.7714838E+00    1.2537897E-01    5.9855050E+01
 0.0700    2.7640031E+00    1.7019409E-01    5.6035514E+01
 0.0800    2.7551944E+00    2.2158588E-01    5.1922894E+01
 0.0900    2.7450060E+00    2.7940758E-01    4.7615937E+01
 0.1000    2.7334547E+00    3.4349605E-01    4.3211234E+01
 0.1100    2.7206087E+00    4.1367694E-01    3.8799715E+01
 0.1200    2.7065584E+00    4.8976727E-01    3.4463723E+01
 0.1300    2.6913926E+00    5.7157553E-01    3.0274771E+01
 0.1400    2.6751881E+00    6.5890114E-01    2.6292043E+01
 0.1500    2.6580108E+00    7.5153484E-01    2.2561632E+01
 0.1600    2.6399231E+00    8.4926084E-01    1.9116489E+01
 0.1700    2.6209898E+00    9.5185993E-01    1.5976974E+01
 0.1800    2.6012792E+00    1.0591119E+00    1.3151917E+01
 0.1900    2.5808580E+00    1.1707959E+00    1.0640051E+01
 0.2000    2.5597867E+00    1.2866892E+00    8.4316848E+00
 0.2100    2.5381170E+00    1.4065659E+00    6.5104813E+00
 0.2200    2.5158959E+00    1.5301989E+00    4.8552278E+00
 0.2300    2.4931726E+00    1.6573639E+00    3.4415029E+00
 0.2400    2.4700021E+00    1.7878442E+00    2.2431712E+00
 0.2500    2.4464433E+00    1.9214321E+00    1.2336620E+00
 0.2600    2.4225510E+00    2.0579247E+00    3.8700976E-01
 0.2700    2.3983691E+00    2.1971182E+00   -3.2134993E-01
 0.2800    2.3739311E+00    2.3388051E+00   -9.1402385E-01
 0.2900    2.3492660E+00    2.4827789E+00   -1.4113231E+00
 0.3000    2.3244084E+00    2.6288440E+00   -1.8311113E+00
 0.3100    2.2994044E+00    2.7768256E+00   -2.1887982E+00
 0.3200    2.2743104E+00    2.9265743E+00   -2.4974384E+00
 0.3300    2.2491853E+00    3.0779601E+00   -2.7678977E+00
 0.3400    2.2240804E+00    3.2308602E+00   -3.0090608E+00
 0.3500    2.1990303E+00    3.3851442E+00   -3.2280613E+00
 0.3600    2.1740524E+00    3.5406652E+00   -3.4305229E+00
 0.3700    2.1491519E+00    3.6972638E+00   -3.6208033E+00
 0.3800    2.1243334E+00    3.8547812E+00   -3.8022308E+00
 0.3900    2.0996094E+00    4.0130778E+00   -3.9773198E+00
 0.4000    2.0750037E+00    4.1720426E+00   -4.1479531E+00
 0.4100    2.0505450E+00    4.3315854E+00   -4.3155183E+00
 0.4200    2.0262538E+00    4.4916126E+00   -4.4810028E+00
 0.4300    2.0021329E+00    4.6519996E+00   -4.6450633E+00
 0.4400    1.9781660E+00    4.8125799E+00   -4.8080902E+00
 0.4500    1.9543257E+00    4.9731531E+00   -4.9702761E+00
 0.4600    1.9305830E+00    5.1335053E+00   -5.1316799E+00
 0.4700    1.9069152E+00    5.2934275E+00   -5.2922809E+00
 0.4800    1.8833107E+00    5.4527340E+00   -5.4520209E+00
 0.4900    1.8597700E+00    5.6112714E+00   -5.6108324E+00
 0.5000    1.8362996E+00    5.7689055E+00   -5.7686379E+00
 0.5100    1.8128997E+00    5.9254862E+00   -5.9253247E+00
 0.5200    1.7895576E+00    6.0808210E+00   -6.0807245E+00
 0.5300    1.7662521E+00    6.2346820E+00   -6.2346249E+00
 0.5400    1.7429599E+00    6.3868214E+00   -6.3867880E+00
 0.5500    1.7196501E+00    6.5369524E+00   -6.5369330E+00
 0.5600    1.6962732E+00    6.6846969E+00   -6.6846857E+00
 0.5700    1.6727616E+00    6.8295743E+00   -6.8295679E+00
 0.5800    1.6490541E+00    6.9710912E+00   -6.9710877E+00
 0.5900    1.6251312E+00    7.1088986E+00   -7.1088967E+00
 0.6000    1.6010325E+00    7.2429002E+00   -7.2428991E+00
 0.6100    1.5768392E+00    7.3732156E+00   -7.3732150E+00
 0.6200    1.5526314E+00    7.5000058E+00   -7.5000054E+00
 0.6300    1.5284462E+00    7.6232666E+00   -7.6232665E+00
