# total charge: 10.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    3.9550264E+00    0.0000000E+00    7.9788456E+01
 0.0100    3.9514749E+00    4.9655698E-03    7.9385544E+01
 0.0200    3.9469908E+00    1.9839739E-02    7.8188699E+01
 0.0300    3.9413893E+00    4.4576062E-02    7.6232987E+01
 0.0400    3.9344768E+00    7.9107350E-02    7.3574921E+01
 0.0500    3.9260444E+00    1.2334032E-01    7.0289725E+01
 0.0600    3.9158636E+00    1.7714950E-01    6.6467771E+01
 0.0700    3.9037069E+00    2.4037159E-01    6.2210415E+01
 0.0800    3.8893952E+00    3.1280372E-01    5.7625507E+01
 0.0900    3.8728469E+00    3.9420780E-01    5.2822842E+01
 0.1000    3.8540919E+00    4.8431947E-01    4.7909825E+01
 0.1100    3.8332436E+00    5.8285651E-01    4.2987579E+01
 0.1200    3.8104518E+00    6.8952311E-01    3.8147688E+01
 0.1300    3.7858639E+00    8.0401021E-01    3.3469708E+01
 0.1400    3.7596079E+00    9.2599468E-01    2.9019498E+01
 0.1500    3.7317944E+00    1.0551400E+00    2.4848379E+01
 0.1600    3.7025263E+00    1.1910993E+00    2.0993068E+01
 0.1700    3.6719083E+00    1.3335200E+00    1.7476295E+01
 0.1800    3.6400491E+00    1.4820475E+00    1.4307984E+01
 0.1900    3.6070557E+00    1.6363263E+00    1.1486837E+01
 0.2000    3.5730268E+00    1.7959992E+00    9.0021941E+00
 0.2100    3.5380496E+00    1.9607055E+00    6.8360137E+00
 0.2200    3.5022038E+00    2.1300835E+00    4.9648350E+00
 0.2300    3.4655685E+00    2.3037748E+00    3.3616328E+00
 0.2400    3.4282274E+00    2.4814297E+00    1.9974764E+00
 0.2500    3.3902682E+00    2.6627104E+00    8.4294967E-01
 0.2600    3.3517780E+00    2.8472907E+00   -1.3069685E-01
 0.2700    3.3128388E+00    3.0348532E+00   -9.5066627E-01
 0.2800    3.2735256E+00    3.2250887E+00   -1.6419984E+00
 0.2900    3.2339081E+00    3.4176969E+00   -2.2271904E+00
 0.3000    3.1940538E+00    3.6123897E+00   -2.7260201E+00
 0.3100    3.1540293E+00    3.8088948E+00   -3.1555310E+00
 0.3200    3.1139007E+00    4.0069561E+00   -3.5301384E+00
 0.3300    3.0737304E+00    4.2063317E+00   -3.8618179E+00
 0.3400    3.0335741E+00    4.4067895E+00   -4.1603456E+00
 0.3500    2.9934778E+00    4.6081011E+00   -4.4335646E+00
 0.3600    2.9534777E+00    4.8100387E+00   -4.6876583E+00
 0.3700    2.9136022E+00    5.0123751E+00   -4.9274191E+00
 0.3800    2.8738755E+00    5.2148882E+00   -5.1564988E+00
 0.3900    2.8343209E+00    5.4173650E+00   -5.3776339E+00
 0.4000    2.7949610E+00    5.6196025E+00   -5.5928364E+00
 0.4100    2.7558142E+00    5.8214009E+00   -5.8035486E+00
 0.4200    2.7168897E+00    6.0225505E+00   -6.0107618E+00
 0.4300    2.6781842E+00    6.2228197E+00   -6.2151127E+00
 0.4400    2.6396858E+00    6.4219578E+00   -6.4169693E+00
 0.4500    2.6013827E+00    6.6197127E+00   -6.6165159E+00
 0.4600    2.5632723E+00    6.8158540E+00   -6.8138258E+00
 0.4700    2.5253610E+00    7.0101779E+00   -7.0089040E+00
 0.4800    2.4876541E+00    7.2024846E+00   -7.2016923E+00
 0.4900    2.4501445E+00    7.3925406E+00   -7.3920528E+00
 0.5000    2.4128080E+00    7.5800598E+00   -7.5797625E+00
 0.5100    2.3756125E+00    7.7647205E+00   -7.7645410E+00
 0.5200    2.3385323E+00    7.9462078E+00   -7.9461006E+00
 0.5300    2.3015546E+00    8.1242426E+00   -8.1241792E+00
 0.5400    2.2646730E+00    8.2985629E+00   -8.2985258E+00
 0.5500    2.2278706E+00    8.4688650E+00   -8.4688435E+00
 0.5600    2.1911081E+00    8.6347490E+00   -8.6347367E+00
 0.5700    2.1543282E+00    8.7957210E+00   -8.7957139E+00
 0.5800    2.1174757E+00    8.9512625E+00   -8.9512585E+00
 0.5900    2.0805192E+00    9.1009266E+00   -9.1009244E+00
 0.6000    2.0434593E+00    9.2443920E+00   -9.2443908E+00
 0.6100    2.0063183E+00    9.3814372E+00   -9.3814365E+00
 0.6200    1.9691186E+00    9.5118528E+00   -9.5118525E+00
 0.6300    1.9318652E+00    9.6353564E+00   -9.6353562E+00
