# total charge: 11.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    4.9940025E+00    0.0000000E+00    8.7767302E+01
 0.0100    4.9895324E+00    6.2700313E-03    8.7323290E+01
 0.0200    4.9838878E+00    2.5051753E-02    8.6004341E+01
 0.0300    4.9768358E+00    5.6286687E-02    8.3849033E+01
 0.0400    4.9681313E+00    9.9890207E-02    8.0919541E+01
 0.0500    4.9575091E+00    1.5574474E-01    7.7298627E+01
 0.0600    4.9446783E+00    2.2369197E-01    7.3085721E+01
 0.0700    4.9293473E+00    3.0352563E-01    6.8392340E+01
 0.0800    4.9112847E+00    3.9498895E-01    6.3337153E+01
 0.0900    4.8903801E+00    4.9778007E-01    5.8040975E+01
 0.1000    4.8666627E+00    6.1156287E-01    5.2621997E+01
 0.1100    4.8402665E+00    7.3597745E-01    4.7191501E+01
 0.1200    4.8113721E+00    8.7064538E-01    4.1850287E+01
 0.1300    4.7801577E+00    1.0151700E+00    3.6685920E+01
 0.1400    4.7467775E+00    1.1691354E+00    3.1770907E+01
 0.1500    4.7113632E+00    1.3321066E+00    2.7161764E+01
 0.1600    4.6740364E+00    1.5036332E+00    2.2898950E+01
 0.1700    4.6349194E+00    1.6832549E+00    1.9007542E+01
 0.1800    4.5941386E+00    1.8705054E+00    1.5498529E+01
 0.1900    4.5518191E+00    2.0649144E+00    1.2370565E+01
 0.2000    4.5080762E+00    2.2660063E+00    9.6120064E+00
 0.2100    4.4630125E+00    2.4732986E+00    7.2030925E+00
 0.2200    4.4167216E+00    2.6863045E+00    5.1181059E+00
 0.2300    4.3692965E+00    2.9045379E+00    3.3274104E+00
 0.2400    4.3208351E+00    3.1275196E+00    1.7992771E+00
 0.2500    4.2714403E+00    3.3547813E+00    5.0144477E-01
 0.2600    4.2212175E+00    3.5858679E+00   -5.9761469E-01
 0.2700    4.1702708E+00    3.8203367E+00   -1.5277311E+00
 0.2800    4.1186995E+00    4.0577569E+00   -2.3163576E+00
 0.2900    4.0665966E+00    4.2977084E+00   -2.9881513E+00
 0.3000    4.0140479E+00    4.5397812E+00   -3.5647746E+00
 0.3100    3.9611330E+00    4.7835760E+00   -4.0648758E+00
 0.3200    3.9079261E+00    5.0287051E+00   -4.5042057E+00
 0.3300    3.8544973E+00    5.2747938E+00   -4.8958287E+00
 0.3400    3.8009122E+00    5.5214804E+00   -5.2503921E+00
 0.3500    3.7472311E+00    5.7684142E+00   -5.5764240E+00
 0.3600    3.6935087E+00    6.0152543E+00   -5.8806359E+00
 0.3700    3.6397932E+00    6.2616678E+00   -6.1682161E+00
 0.3800    3.5861272E+00    6.5073287E+00   -6.4431004E+00
 0.3900    3.5325477E+00    6.7519173E+00   -6.7082131E+00
 0.4000    3.4790869E+00    6.9951192E+00   -6.9656766E+00
 0.4100    3.4257717E+00    7.2366238E+00   -7.2169863E+00
 0.4200    3.3726240E+00    7.4761218E+00   -7.4631543E+00
 0.4300    3.3196602E+00    7.7133032E+00   -7.7048254E+00
 0.4400    3.2668919E+00    7.9478557E+00   -7.9423684E+00
 0.4500    3.2143262E+00    8.1794639E+00   -8.1759475E+00
 0.4600    3.1619666E+00    8.4078083E+00   -8.4055773E+00
 0.4700    3.1098128E+00    8.6325644E+00   -8.6311631E+00
 0.4800    3.0578618E+00    8.8534020E+00   -8.8525305E+00
 0.4900    3.0061075E+00    9.0699841E+00   -9.0694475E+00
 0.5000    2.9545417E+00    9.2819664E+00   -9.2816393E+00
 0.5100    2.9031542E+00    9.4889974E+00   -9.4888000E+00
 0.5200    2.8519335E+00    9.6907177E+00   -9.6905997E+00
 0.5300    2.8008664E+00    9.8867601E+00   -9.8866903E+00
 0.5400    2.7499393E+00    1.0076750E+01   -1.0076709E+01
 0.5500    2.6991382E+00    1.0260307E+01   -1.0260284E+01
 0.5600    2.6484499E+00    1.0437048E+01   -1.0437034E+01
 0.5700    2.5978616E+00    1.0606585E+01   -1.0606578E+01
 0.5800    2.5473621E+00    1.0768533E+01   -1.0768528E+01
 0.5900    2.4969409E+00    1.0922503E+01   -1.0922500E+01
 0.6000    2.4465893E+00    1.1068109E+01   -1.1068108E+01
 0.6100    2.3963001E+00    1.1204971E+01   -1.1204970E+01
 0.6200    2.3460684E+00    1.1332714E+01   -1.1332713E+01
 0.6300    2.2958922E+00    1.1450975E+01   -1.1450974E+01
 0.6400    2.2457719E+00    1.1559404E+01   -1.1559404E+01
 0.6500    2.1957109E+00    1.1657670E+01   -1.1657669E+01
 0.6600    2.1457156E+00    1.1745457E+01   -1.1745457E+01
 0.6700    2.0957952E+00    1.1822473E+01   -1.1822473E+01
 0.6800    2.0459618E+00    1.1888449E+01   -1.1888449E+01
 0.6900    1.9962305E+00    1.1943146E+01   -1.1943146E+01
 0.7000    1.9466198E+00    1.1986354E+01   -1.1986354E+01
 0.7100    1.8971511E+00    1.2017897E+01   -1.2017897E+01
 0.7200    1.8478491E+00    1.2037640E+01   -1.2037640E+01
 0.7300    1.7987413E+00    1.2045485E+01   -1.2045485E+01
 0.7400    1.7498580E+00    1.2041376E+01   -1.2041376E+01
 0.7500    1.7012319E+00    1.2025300E+01   -1.2025300E+01
 0.7600    1.6528980E+00    1.1997289E+01   -1.1997289E+01
 0.7700    1.6048936E+00    1.1957422E+01   -1.1957422E+01
 0.7800    1.5572578E+00    1.1905828E+01   -1.1905828E+01
 0.7900    1.5100313E+00    1.1842680E+01   -1.1842680E+01
 0.8000    1.4632559E+00    1.1768202E+01   -1.1768202E+01
 0.8100    1.4169746E+00    1.1682666E+01   -1.1682666E+01
 0.8200    1.3712311E+00    1.1586392E+01   -1.1586392E+01
 0.8300    1.3260698E+00    1.1479750E+01   -1.1479750E+01
 0.8400    1.2815353E+00    1.1363157E+01   -1.1363157E+01
 0.8500    1.2376720E+00    1.1237075E+01   -1.1237075E+01
 0.8600    1.1945234E+00    1.1102005E+01   -1.1102005E+01
 0.8700    1.1521315E+00    1.0958483E+01   -1.0958483E+01
 0.8800    1.1105371E+00    1.0807078E+01   -1.0807078E+01
 0.8900    1.0697791E+00    1.0648391E+01   -1.0648391E+01
 0.9000    1.0298950E+00    1.0483054E+01   -1.0483054E+01
 0.9100    9.9092043E-01    1.0311728E+01   -1.0311728E+01
 0.9200    9.5288865E-01    1.0135091E+01   -1.0135091E+01
 0.9300    9.1583024E-01    9.9538419E+00   -9.9538419E+00
 0.9400    8.7977257E-01    9.7686824E+00   -9.7686824E+00
 0.9500    8.4473960E-01    9.5803181E+00   -9.5803181E+00
 0.9600    8.1075173E-01    9.3894513E+00   -9.3894513E+00
 0.9700    7.7782577E-01    9.1967771E+00   -9.1967771E+00
 0.9800    7.4597494E-01    9.0029793E+00   -9.0029793E+00
 0.9900    7.1520879E-01    8.8087258E+00   -8.8087258E+00
 1.0000    6.8553324E-01    8.6146647E+00   -8.6146647E+00
 1.0100    6.5695045E-01    8.4214180E+00   -8.4214180E+00
 1.0200    6.2945866E-01    8.2295753E+00   -8.2295753E+00
 1.0300    6.0305205E-01    8.0396865E+00   -8.0396865E+00
 1.0400    5.7772067E-01    7.8522560E+00   -7.8522560E+00
 1.0500    5.5345059E-01    7.6677389E+00   -7.6677389E+00
 1.0600    5.3022416E-01    7.4865393E+00   -7.4865393E+00
 1.0700    5.0802036E-01    7.3090097E+00   -7.3090097E+00
 1.0800    4.8681501E-01    7.1354494E+00   -7.1354494E+00
 1.0900    4.6658090E-01    6.9661018E+00   -6.9661018E+00
 1.1000    4.4728783E-01    6.8011494E+00   -6.8011494E+00
 1.1100    4.2890264E-01    6.6407104E+00   -6.6407104E+00
 1.1200    4.1138937E-01    6.4848356E+00   -6.4848356E+00
 1.1300    3.9470954E-01    6.3335088E+00   -6.3335088E+00
 1.1400    3.7882258E-01    6.1866483E+00   -6.1866483E+00
 1.1500    3.6368619E-01    6.0441100E+00   -6.0441100E+00
 1.1600    3.4925686E-01    5.9056920E+00   -5.9056920E+00
 1.1700    3.3549035E-01    5.7711401E+00   -5.7711401E+00
