# total charge: 6.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    7.9173906E+00    0.0000000E+00    4.7873074E+01
 0.0100    7.9093551E+00    9.9391888E-03    4.7624367E+01
 0.0200    7.8991920E+00    3.9705670E-02    4.6885418E+01
 0.0300    7.8864592E+00    8.9193752E-02    4.5677344E+01
 0.0400    7.8706741E+00    1.5824929E-01    4.4034168E+01
 0.0500    7.8512920E+00    2.4665561E-01    4.2001184E+01
 0.0600    7.8276962E+00    3.5411663E-01    3.9632836E+01
 0.0700    7.7992479E+00    4.8024037E-01    3.6990232E+01
 0.0800    7.7654034E+00    6.2453079E-01    3.4138456E+01
 0.0900    7.7258300E+00    7.8639371E-01    3.1143836E+01
 0.1000    7.6804401E+00    9.6515257E-01    2.8071334E+01
 0.1100    7.6293268E+00    1.1600627E+00    2.4982199E+01
 0.1200    7.5726545E+00    1.3703153E+00    2.1932011E+01
 0.1300    7.5105698E+00    1.5950322E+00    1.8969199E+01
 0.1400    7.4431649E+00    1.8332580E+00    1.6134038E+01
 0.1500    7.3704892E+00    2.0839567E+00    1.3458155E+01
 0.1600    7.2925857E+00    2.3460182E+00    1.0964482E+01
 0.1700    7.2095252E+00    2.6182696E+00    8.6676196E+00
 0.1800    7.1214125E+00    2.8994860E+00    6.5745330E+00
 0.1900    7.0283651E+00    3.1883896E+00    4.6855082E+00
 0.2000    6.9304814E+00    3.4836399E+00    2.9952761E+00
 0.2100    6.8278276E+00    3.7838246E+00    1.4942069E+00
 0.2200    6.7204551E+00    4.0874637E+00    1.6948743E-01
 0.2300    6.6084327E+00    4.3930284E+00   -9.9378382E-01
 0.2400    6.4918733E+00    4.6989669E+00   -2.0116232E+00
 0.2500    6.3709422E+00    5.0037263E+00   -2.9003302E+00
 0.2600    6.2458491E+00    5.3057655E+00   -3.6758091E+00
 0.2700    6.1168336E+00    5.6035604E+00   -4.3530482E+00
 0.2800    5.9841507E+00    5.8956060E+00   -4.9457518E+00
 0.2900    5.8480628E+00    6.1804186E+00   -5.4661147E+00
 0.3000    5.7088386E+00    6.4565444E+00   -5.9247226E+00
 0.3100    5.5667594E+00    6.7225758E+00   -6.3305575E+00
 0.3200    5.4221265E+00    6.9771725E+00   -6.6910819E+00
 0.3300    5.2752635E+00    7.2190807E+00   -7.0123725E+00
 0.3400    5.1265140E+00    7.4471456E+00   -7.2992793E+00
 0.3500    4.9762346E+00    7.6603180E+00   -7.5555961E+00
 0.3600    4.8247893E+00    7.8576598E+00   -7.7842315E+00
 0.3700    4.6725464E+00    8.0383504E+00   -7.9873768E+00
 0.3800    4.5198768E+00    8.2016957E+00   -8.1666621E+00
 0.3900    4.3671530E+00    8.3471360E+00   -8.3232973E+00
 0.4000    4.2147476E+00    8.4742528E+00   -8.4581932E+00
 0.4100    4.0630301E+00    8.5827727E+00   -8.5720613E+00
 0.4200    3.9123644E+00    8.6725685E+00   -8.6654953E+00
 0.4300    3.7631053E+00    8.7436576E+00   -8.7390334E+00
 0.4400    3.6155952E+00    8.7961986E+00   -8.7932055E+00
 0.4500    3.4701613E+00    8.8304850E+00   -8.8285669E+00
 0.4600    3.3271128E+00    8.8469395E+00   -8.8457226E+00
 0.4700    3.1867396E+00    8.8461064E+00   -8.8453420E+00
 0.4800    3.0493111E+00    8.8286454E+00   -8.8281700E+00
 0.4900    2.9150754E+00    8.7953234E+00   -8.7950307E+00
 0.5000    2.7842580E+00    8.7470044E+00   -8.7468260E+00
 0.5100    2.6570595E+00    8.6846335E+00   -8.6845258E+00
 0.5200    2.5336526E+00    8.6092163E+00   -8.6091520E+00
 0.5300    2.4141808E+00    8.5218010E+00   -8.5217630E+00
 0.5400    2.2987590E+00    8.4234661E+00   -8.4234438E+00
 0.5500    2.1874764E+00    8.3153132E+00   -8.3153002E+00
 0.5600    2.0803972E+00    8.1984579E+00   -8.1984505E+00
 0.5700    1.9775612E+00    8.0740142E+00   -8.0740100E+00
 0.5800    1.8789824E+00    7.9430731E+00   -7.9430707E+00
 0.5900    1.7846482E+00    7.8066823E+00   -7.8066810E+00
 0.6000    1.6945211E+00    7.6658327E+00   -7.6658320E+00
 0.6100    1.6085407E+00    7.5214505E+00   -7.5214501E+00
 0.6200    1.5266271E+00    7.3743920E+00   -7.3743917E+00
 0.6300    1.4486822E+00    7.2254365E+00   -7.2254364E+00
 0.6400    1.3745913E+00    7.0752761E+00   -7.0752761E+00
 0.6500    1.3042240E+00    6.9245056E+00   -6.9245056E+00
 0.6600    1.2374361E+00    6.7736152E+00   -6.7736152E+00
 0.6700    1.1740717E+00    6.6229899E+00   -6.6229899E+00
 0.6800    1.1139665E+00    6.4729140E+00   -6.4729140E+00
 0.6900    1.0569517E+00    6.3235824E+00   -6.3235824E+00
 0.7000    1.0028579E+00    6.1751190E+00   -6.1751190E+00
 0.7100    9.5151991E-01    6.0276002E+00   -6.0276002E+00
 0.7200    9.0278114E-01    5.8810833E+00   -5.8810833E+00
 0.7300    8.5649717E-01    5.7356351E+00   -5.7356351E+00
 0.7400    8.1253805E-01    5.5913543E+00   -5.5913543E+00
 0.7500    7.7078834E-01    5.4483817E+00   -5.4483817E+00
 0.7600    7.3114504E-01    5.3068961E+00   -5.3068961E+00
 0.7700    6.9351440E-01    5.1670992E+00   -5.1670992E+00
 0.7800    6.5780872E-01    5.0291975E+00   -5.0291975E+00
 0.7900    6.2394390E-01    4.8933873E+00   -4.8933873E+00
 0.8000    5.9183800E-01    4.7598436E+00   -4.7598436E+00
 0.8100    5.6141036E-01    4.6287138E+00   -4.6287138E+00
 0.8200    5.3258141E-01    4.5001145E+00   -4.5001145E+00
 0.8300    5.0527287E-01    4.3741334E+00   -4.3741334E+00
 0.8400    4.7940842E-01    4.2508335E+00   -4.2508335E+00
 0.8500    4.5491422E-01    4.1302584E+00   -4.1302584E+00
 0.8600    4.3171908E-01    4.0124350E+00   -4.0124350E+00
