# total charge: 12.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    5.6154860E+00    0.0000000E+00    9.5746147E+01
 0.0100    5.6106340E+00    7.0505306E-03    9.5261561E+01
 0.0200    5.6045067E+00    2.8171323E-02    9.3822075E+01
 0.0300    5.5968505E+00    6.3298887E-02    9.1469777E+01
 0.0400    5.5873982E+00    1.1234131E-01    8.8272492E+01
 0.0500    5.5758600E+00    1.7517081E-01    8.4320508E+01
 0.0600    5.5619178E+00    2.5161523E-01    7.9722289E+01
 0.0700    5.5452524E+00    3.4145011E-01    7.4599494E+01
 0.0800    5.5256098E+00    4.4439591E-01    6.9081577E+01
 0.0900    5.5028678E+00    5.6012371E-01    6.3300336E+01
 0.1000    5.4770553E+00    6.8826707E-01    5.7384707E+01
 0.1100    5.4483151E+00    8.2843312E-01    5.1456089E+01
 0.1200    5.4168393E+00    9.8020815E-01    4.5624445E+01
 0.1300    5.3828168E+00    1.1431577E+00    3.9985304E+01
 0.1400    5.3464099E+00    1.3168254E+00    3.4617766E+01
 0.1500    5.3077565E+00    1.5007328E+00    2.9583490E+01
 0.1600    5.2669833E+00    1.6943837E+00    2.4926617E+01
 0.1700    5.2242188E+00    1.8972697E+00    2.0674509E+01
 0.1800    5.1795961E+00    2.1088747E+00    1.6839163E+01
 0.1900    5.1332470E+00    2.3286769E+00    1.3419119E+01
 0.2000    5.0852921E+00    2.5561466E+00    1.0401685E+01
 0.2100    5.0358372E+00    2.7907449E+00    7.7653182E+00
 0.2200    4.9849781E+00    3.0319252E+00    5.4819771E+00
 0.2300    4.9328095E+00    3.2791394E+00    3.5193497E+00
 0.2400    4.8794314E+00    3.5318444E+00    1.8428429E+00
 0.2500    4.8249505E+00    3.7895073E+00    4.1728485E-01
 0.2600    4.7694772E+00    4.0516073E+00   -7.9169464E-01
 0.2700    4.7131210E+00    4.3176356E+00   -1.8166112E+00
 0.2800    4.6559866E+00    4.5870941E+00   -2.6873857E+00
 0.2900    4.5981711E+00    4.8594933E+00   -3.4308855E+00
 0.3000    4.5397640E+00    5.1343521E+00   -4.0707085E+00
 0.3100    4.4808475E+00    5.4111979E+00   -4.6271613E+00
 0.3200    4.4214991E+00    5.6895689E+00   -5.1173877E+00
 0.3300    4.3617923E+00    5.9690158E+00   -5.5555992E+00
