# total charge: 3.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    8.8837520E-03    0.0000000E+00    2.3936537E+01
 0.0100    9.0443853E-03    1.1365510E-05    2.3817141E+01
 0.0200    9.2473473E-03    4.6482237E-05    2.3462515E+01
 0.0300    9.5011903E-03    1.0745593E-04    2.2883161E+01
 0.0400    9.8150459E-03    1.9734321E-04    2.2096011E+01
 0.0500    1.0198983E-02    3.2041051E-04    2.1123599E+01
 0.0600    1.0664213E-02    4.8243761E-04    1.9992994E+01
 0.0700    1.1222165E-02    6.9100723E-04    1.8734545E+01
 0.0800    1.1882273E-02    9.5562906E-04    1.7380538E+01
 0.0900    1.2649729E-02    1.2875856E-03    1.5963827E+01
 0.1000    1.3524825E-02    1.6995796E-03    1.4516544E+01
 0.1100    1.4504185E-02    2.2054060E-03    1.3068925E+01
 0.1200    1.5582897E-02    2.8198145E-03    1.1648343E+01
 0.1300    1.6756246E-02    3.5585517E-03    1.0278557E+01
 0.1400    1.8020472E-02    4.4384579E-03    8.9792095E+00
 0.1500    1.9372659E-02    5.4774902E-03    7.7655782E+00
 0.1600    2.0810189E-02    6.6946188E-03    6.6485555E+00
 0.1700    2.2330268E-02    8.1096412E-03    5.6348350E+00
 0.1800    2.3929822E-02    9.7430369E-03    4.7272665E+00
 0.1900    2.5605815E-02    1.1615975E-02    3.9253329E+00
 0.2000    2.7355673E-02    1.3750461E-02    3.2257075E+00
 0.2100    2.9177454E-02    1.6169472E-02    2.6228463E+00
 0.2200    3.1069594E-02    1.8896911E-02    2.1095787E+00
 0.2300    3.3030467E-02    2.1957366E-02    1.6776649E+00
 0.2400    3.5058030E-02    2.5375807E-02    1.3182960E+00
 0.2500    3.7149738E-02    2.9177336E-02    1.0225207E+00
 0.2600    3.9302651E-02    3.3387078E-02    7.8159108E-01
 0.2700    4.1513645E-02    3.8030169E-02    5.8722592E-01
 0.2800    4.3779604E-02    4.3131817E-02    4.3179528E-01
 0.2900    4.6097558E-02    4.8717364E-02    3.0843458E-01
 0.3000    4.8464700E-02    5.4812284E-02    2.1109862E-01
 0.3100    5.0878279E-02    6.1442046E-02    1.3456710E-01
 0.3200    5.3335469E-02    6.8631887E-02    7.4413405E-02
 0.3300    5.5833279E-02    7.6406601E-02    2.6947535E-02
 0.3400    5.8368573E-02    8.4790418E-02   -1.0857267E-02
 0.3500    6.0938143E-02    9.3806983E-02   -4.1446022E-02
 0.3600    6.3538771E-02    1.0347935E-01   -6.6765231E-02
 0.3700    6.6167241E-02    1.1382990E-01   -8.8343079E-02
 0.3800    6.8820318E-02    1.2488024E-01   -1.0736343E-01
 0.3900    7.1494744E-02    1.3665112E-01   -1.2473179E-01
 0.4000    7.4187234E-02    1.4916228E-01   -1.4113247E-01
 0.4100    7.6894489E-02    1.6243245E-01   -1.5707675E-01
 0.4200    7.9613202E-02    1.7647920E-01   -1.7294262E-01
 0.4300    8.2340050E-02    1.9131891E-01   -1.8900680E-01
 0.4400    8.5071690E-02    2.0696661E-01   -2.0547006E-01
 0.4500    8.7804752E-02    2.2343588E-01   -2.2247685E-01
 0.4600    9.0535839E-02    2.4073878E-01   -2.4013033E-01
 0.4700    9.3261541E-02    2.5888576E-01   -2.5850357E-01
 0.4800    9.5978456E-02    2.7788564E-01   -2.7764796E-01
 0.4900    9.8683197E-02    2.9774552E-01   -2.9759918E-01
 0.5000    1.0137240E-01    3.1847078E-01   -3.1838158E-01
 0.5100    1.0404270E-01    3.4006493E-01   -3.4001110E-01
 0.5200    1.0669078E-01    3.6252956E-01   -3.6249739E-01
 0.5300    1.0931330E-01    3.8586432E-01   -3.8584530E-01
 0.5400    1.1190703E-01    4.1006693E-01   -4.1005579E-01
 0.5500    1.1446875E-01    4.3513316E-01   -4.3512670E-01
 0.5600    1.1699533E-01    4.6105681E-01   -4.6105310E-01
 0.5700    1.1948369E-01    4.8782964E-01   -4.8782753E-01
 0.5800    1.2193077E-01    5.1544125E-01   -5.1544007E-01
 0.5900    1.2433358E-01    5.4387903E-01   -5.4387837E-01
 0.6000    1.2668914E-01    5.7312817E-01   -5.7312781E-01
 0.6100    1.2899457E-01    6.0317170E-01   -6.0317150E-01
 0.6200    1.3124705E-01    6.3399058E-01   -6.3399047E-01
 0.6300    1.3344388E-01    6.6556369E-01   -6.6556363E-01
 0.6400    1.3558243E-01    6.9786789E-01   -6.9786786E-01
 0.6500    1.3766017E-01    7.3087797E-01   -7.3087796E-01
 0.6600    1.3967465E-01    7.6456662E-01   -7.6456661E-01
 0.6700    1.4162350E-01    7.9890439E-01   -7.9890438E-01
 0.6800    1.4350444E-01    8.3385977E-01   -8.3385977E-01
 0.6900    1.4531526E-01    8.6939927E-01   -8.6939927E-01
 0.7000    1.4705389E-01    9.0548751E-01   -9.0548751E-01
 0.7100    1.4871838E-01    9.4208742E-01   -9.4208742E-01
 0.7200    1.5030691E-01    9.7916032E-01   -9.7916032E-01
 0.7300    1.5181780E-01    1.0166660E+00   -1.0166660E+00
 0.7400    1.5324949E-01    1.0545626E+00   -1.0545626E+00
 0.7500    1.5460052E-01    1.0928067E+00   -1.0928067E+00
 0.7600    1.5586955E-01    1.1313535E+00   -1.1313535E+00
 0.7700    1.5705534E-01    1.1701567E+00   -1.1701567E+00
 0.7800    1.5815679E-01    1.2091687E+00   -1.2091687E+00
 0.7900    1.5917287E-01    1.2483406E+00   -1.2483406E+00
 0.8000    1.6010266E-01    1.2876220E+00   -1.2876220E+00
 0.8100    1.6094534E-01    1.3269615E+00   -1.3269615E+00
 0.8200    1.6170022E-01    1.3663067E+00   -1.3663067E+00
 0.8300    1.6236674E-01    1.4056045E+00   -1.4056045E+00
 0.8400    1.6294446E-01    1.4448010E+00   -1.4448010E+00
 0.8500    1.6343305E-01    1.4838418E+00   -1.4838418E+00
 0.8600    1.6383232E-01    1.5226719E+00   -1.5226719E+00
 0.8700    1.6414221E-01    1.5612363E+00   -1.5612363E+00
 0.8800    1.6436278E-01    1.5994795E+00   -1.5994795E+00
 0.8900    1.6449421E-01    1.6373461E+00   -1.6373461E+00
 0.9000    1.6453678E-01    1.6747804E+00   -1.6747804E+00
 0.9100    1.6449084E-01    1.7117265E+00   -1.7117265E+00
 0.9200    1.6435683E-01    1.7481282E+00   -1.7481282E+00
 0.9300    1.6413525E-01    1.7839293E+00   -1.7839293E+00
 0.9400    1.6382675E-01    1.8190741E+00   -1.8190741E+00
 0.9500    1.6343208E-01    1.8535076E+00   -1.8535076E+00
 0.9600    1.6295215E-01    1.8871761E+00   -1.8871761E+00
 0.9700    1.6238800E-01    1.9200266E+00   -1.9200266E+00
 0.9800    1.6174078E-01    1.9520078E+00   -1.9520078E+00
 0.9900    1.6101174E-01    1.9830689E+00   -1.9830689E+00
 1.0000    1.6020221E-01    2.0131603E+00   -2.0131603E+00
 1.0100    1.5931358E-01    2.0422335E+00   -2.0422335E+00
 1.0200    1.5834734E-01    2.0702413E+00   -2.0702413E+00
 1.0300    1.5730504E-01    2.0971378E+00   -2.0971378E+00
 1.0400    1.5618836E-01    2.1228788E+00   -2.1228788E+00
 1.0500    1.5499903E-01    2.1474223E+00   -2.1474223E+00
 1.0600    1.5373893E-01    2.1707283E+00   -2.1707283E+00
 1.0700    1.5241004E-01    2.1927595E+00   -2.1927595E+00
 1.0800    1.5101443E-01    2.2134812E+00   -2.2134812E+00
 1.0900    1.4955426E-01    2.2328609E+00   -2.2328609E+00
 1.1000    1.4803176E-01    2.2508686E+00   -2.2508686E+00
 1.1100    1.4644923E-01    2.2674770E+00   -2.2674770E+00
 1.1200    1.4480903E-01    2.2826617E+00   -2.2826617E+00
 1.1300    1.4311364E-01    2.2964012E+00   -2.2964012E+00
 1.1400    1.4136558E-01    2.3086774E+00   -2.3086774E+00
 1.1500    1.3956747E-01    2.3194752E+00   -2.3194752E+00
 1.1600    1.3772193E-01    2.3287826E+00   -2.3287826E+00
 1.1700    1.3583167E-01    2.3365907E+00   -2.3365907E+00
 1.1800    1.3389945E-01    2.3428941E+00   -2.3428941E+00
 1.1900    1.3192805E-01    2.3476910E+00   -2.3476910E+00
 1.2000    1.2992036E-01    2.3509834E+00   -2.3509834E+00
