# total charge: 4.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    5.2883762E-02    0.0000000E+00    3.1915382E+01
 0.0100    5.3083240E-02    6.6706367E-05    3.1756137E+01
 0.0200    5.3335273E-02    2.6809232E-04    3.1283147E+01
 0.0300    5.3650466E-02    6.0677247E-04    3.0510418E+01
 0.0400    5.4040130E-02    1.0865413E-03    2.9460525E+01
 0.0500    5.4516725E-02    1.7126934E-03    2.8163513E+01
 0.0600    5.5094109E-02    2.4923988E-03    2.6655476E+01
 0.0700    5.5786401E-02    3.4350597E-03    2.4976880E+01
 0.0800    5.6605232E-02    4.5524629E-03    2.3170772E+01
 0.0900    5.7556968E-02    5.8585857E-03    2.1280961E+01
 0.1000    5.8641882E-02    7.3691562E-03    1.9350289E+01
 0.1100    5.9855685E-02    9.1012415E-03    1.7419073E+01
 0.1200    6.1192148E-02    1.1073070E-02    1.5523811E+01
 0.1300    6.2645251E-02    1.3304076E-02    1.3696183E+01
 0.1400    6.4210128E-02    1.5815010E-02    1.1962382E+01
 0.1500    6.5882957E-02    1.8627967E-02    1.0342780E+01
 0.1600    6.7660313E-02    2.1766261E-02    8.8519005E+00
 0.1700    6.9538576E-02    2.5254193E-02    7.4986720E+00
 0.1800    7.1513781E-02    2.9116865E-02    6.2868958E+00
 0.1900    7.3581968E-02    3.3380164E-02    5.2158850E+00
 0.2000    7.5739697E-02    3.8070924E-02    4.2812064E+00
 0.2100    7.7984254E-02    4.3217076E-02    3.4754706E+00
 0.2200    8.0313372E-02    4.8847584E-02    2.7891198E+00
 0.2300    8.2724700E-02    5.4992155E-02    2.2111709E+00
 0.2400    8.5215389E-02    6.1680854E-02    1.7298816E+00
 0.2500    8.7782000E-02    6.8943821E-02    1.3333202E+00
 0.2600    9.0420654E-02    7.6811139E-02    1.0098264E+00
 0.2700    9.3127274E-02    8.5312817E-02    7.4836197E-01
 0.2800    9.5897783E-02    9.4478827E-02    5.3875730E-01
 0.2900    9.8728223E-02    1.0433912E-01    3.7186347E-01
 0.3000    1.0161474E-01    1.1492357E-01    2.3962430E-01
 0.3100    1.0455351E-01    1.2626177E-01    1.3508376E-01
 0.3200    1.0754057E-01    1.3838281E-01    5.2344245E-02
 0.3300    1.1057180E-01    1.5131506E-01   -1.3509540E-02
 0.3400    1.1364298E-01    1.6508603E-01   -6.6508492E-02
 0.3500    1.1674982E-01    1.7972238E-01   -1.0990776E-01
 0.3600    1.1988803E-01    1.9524985E-01   -1.4629769E-01
 0.3700    1.2305333E-01    2.1169309E-01   -1.7771067E-01
 0.3800    1.2624134E-01    2.2907551E-01   -2.0571976E-01
 0.3900    1.2944764E-01    2.4741909E-01   -2.3152665E-01
 0.4000    1.3266775E-01    2.6674435E-01   -2.5603793E-01
 0.4100    1.3589725E-01    2.8707028E-01   -2.7992935E-01
 0.4200    1.3913171E-01    3.0841435E-01   -3.0369891E-01
 0.4300    1.4236678E-01    3.3079233E-01   -3.2770952E-01
 0.4400    1.4559807E-01    3.5421818E-01   -3.5222278E-01
 0.4500    1.4882122E-01    3.7870388E-01   -3.7742518E-01
 0.4600    1.5203183E-01    4.0425932E-01   -4.0344805E-01
 0.4700    1.5522547E-01    4.3089212E-01   -4.3038253E-01
 0.4800    1.5839771E-01    4.5860760E-01   -4.5829069E-01
 0.4900    1.6154414E-01    4.8740866E-01   -4.8721354E-01
 0.5000    1.6466038E-01    5.1729584E-01   -5.1717690E-01
 0.5100    1.6774215E-01    5.4826739E-01   -5.4819561E-01
 0.5200    1.7078528E-01    5.8031927E-01   -5.8027638E-01
 0.5300    1.7378575E-01    6.1344518E-01   -6.1341981E-01
 0.5400    1.7673959E-01    6.4763636E-01   -6.4762150E-01
 0.5500    1.7964291E-01    6.8288146E-01   -6.8287284E-01
 0.5600    1.8249184E-01    7.1916635E-01   -7.1916140E-01
 0.5700    1.8528255E-01    7.5647415E-01   -7.5647134E-01
 0.5800    1.8801131E-01    7.9478532E-01   -7.9478374E-01
 0.5900    1.9067452E-01    8.3407777E-01   -8.3407689E-01
 0.6000    1.9326870E-01    8.7432700E-01   -8.7432651E-01
 0.6100    1.9579054E-01    9.1550607E-01   -9.1550581E-01
 0.6200    1.9823685E-01    9.5758565E-01   -9.5758551E-01
 0.6300    2.0060458E-01    1.0005339E+00   -1.0005338E+00
 0.6400    2.0289078E-01    1.0443165E+00   -1.0443164E+00
 0.6500    2.0509263E-01    1.0888966E+00   -1.0888966E+00
 0.6600    2.0720744E-01    1.1342351E+00   -1.1342351E+00
 0.6700    2.0923265E-01    1.1802906E+00   -1.1802906E+00
 0.6800    2.1116589E-01    1.2270195E+00   -1.2270195E+00
 0.6900    2.1300493E-01    1.2743763E+00   -1.2743763E+00
 0.7000    2.1474767E-01    1.3223134E+00   -1.3223134E+00
 0.7100    2.1639222E-01    1.3707814E+00   -1.3707814E+00
 0.7200    2.1793680E-01    1.4197289E+00   -1.4197289E+00
 0.7300    2.1937985E-01    1.4691032E+00   -1.4691032E+00
 0.7400    2.2071993E-01    1.5188499E+00   -1.5188499E+00
 0.7500    2.2195574E-01    1.5689126E+00   -1.5689126E+00
 0.7600    2.2308607E-01    1.6192336E+00   -1.6192336E+00
 0.7700    2.2410985E-01    1.6697531E+00   -1.6697531E+00
 0.7800    2.2502612E-01    1.7204102E+00   -1.7204102E+00
 0.7900    2.2583411E-01    1.7711428E+00   -1.7711428E+00
 0.8000    2.2653317E-01    1.8218878E+00   -1.8218878E+00
 0.8100    2.2712283E-01    1.8725813E+00   -1.8725813E+00
 0.8200    2.2760278E-01    1.9231587E+00   -1.9231587E+00
 0.8300    2.2797283E-01    1.9735546E+00   -1.9735546E+00
 0.8400    2.2823294E-01    2.0237029E+00   -2.0237029E+00
 0.8500    2.2838317E-01    2.0735371E+00   -2.0735371E+00
 0.8600    2.2842371E-01    2.1229900E+00   -2.1229900E+00
 0.8700    2.2835487E-01    2.1719941E+00   -2.1719941E+00
 0.8800    2.2817711E-01    2.2204822E+00   -2.2204822E+00
 0.8900    2.2789101E-01    2.2683866E+00   -2.2683866E+00
 0.9000    2.2749724E-01    2.3156398E+00   -2.3156398E+00
 0.9100    2.2699657E-01    2.3621743E+00   -2.3621743E+00
 0.9200    2.2638989E-01    2.4079228E+00   -2.4079228E+00
 0.9300    2.2567822E-01    2.4528184E+00   -2.4528184E+00
 0.9400    2.2486268E-01    2.4967954E+00   -2.4967954E+00
 0.9500    2.2394460E-01    2.5397891E+00   -2.5397891E+00
 0.9600    2.2292538E-01    2.5817361E+00   -2.5817361E+00
 0.9700    2.2180660E-01    2.6225742E+00   -2.6225742E+00
 0.9800    2.2058990E-01    2.6622426E+00   -2.6622426E+00
 0.9900    2.1927703E-01    2.7006817E+00   -2.7006817E+00
 1.0000    2.1786985E-01    2.7378332E+00   -2.7378332E+00
 1.0100    2.1637028E-01    2.7736408E+00   -2.7736408E+00
 1.0200    2.1478039E-01    2.8080500E+00   -2.8080500E+00
 1.0300    2.1310232E-01    2.8410083E+00   -2.8410083E+00
 1.0400    2.1133834E-01    2.8724656E+00   -2.8724656E+00
 1.0500    2.0949080E-01    2.9023742E+00   -2.9023742E+00
 1.0600    2.0756217E-01    2.9306895E+00   -2.9306895E+00
 1.0700    2.0555507E-01    2.9573697E+00   -2.9573697E+00
 1.0800    2.0347222E-01    2.9823767E+00   -2.9823767E+00
 1.0900    2.0131642E-01    3.0056753E+00   -3.0056753E+00
