# total charge: 5.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -1.1653284E-01   -0.0000000E+00    3.9894228E+01
 0.0100   -1.1602223E-01   -1.4579783E-04    3.9695401E+01
 0.0200   -1.1537711E-01   -5.7994861E-04    3.9104849E+01
 0.0300   -1.1457037E-01   -1.2957603E-03    3.8140077E+01
 0.0400   -1.1357310E-01   -2.2835226E-03    3.6829298E+01
 0.0500   -1.1235346E-01   -3.5296879E-03    3.5210062E+01
 0.0600   -1.1087604E-01   -5.0159137E-03    3.3327476E+01
 0.0700   -1.0910473E-01   -6.7181474E-03    3.1232111E+01
 0.0800   -1.0700978E-01   -8.6062368E-03    2.8977762E+01
 0.0900   -1.0457486E-01   -1.0644424E-02    2.6619169E+01
 0.1000   -1.0179929E-01   -1.2792476E-02    2.4209865E+01
 0.1100   -9.8694082E-02   -1.5006740E-02    2.1800224E+01
 0.1200   -9.5275267E-02   -1.7240606E-02    1.9435846E+01
 0.1300   -9.1558348E-02   -1.9444399E-02    1.7156304E+01
 0.1400   -8.7555891E-02   -2.1565091E-02    1.4994312E+01
 0.1500   -8.3277837E-02   -2.3546254E-02    1.2975306E+01
 0.1600   -7.8733175E-02   -2.5328391E-02    1.1117412E+01
 0.1700   -7.3931447E-02   -2.6849544E-02    9.4317573E+00
 0.1800   -6.8883077E-02   -2.8045773E-02    7.9230616E+00
 0.1900   -6.3598422E-02   -2.8851169E-02    6.5904326E+00
 0.2000   -5.8086477E-02   -2.9197448E-02    5.4282941E+00
 0.2100   -5.2354383E-02   -2.9013592E-02    4.4273732E+00
 0.2200   -4.6408186E-02   -2.8226031E-02    3.5756853E+00
 0.2300   -4.0254213E-02   -2.6759431E-02    2.8594632E+00
 0.2400   -3.3900117E-02   -2.4537683E-02    2.2639907E+00
 0.2500   -2.7355145E-02   -2.1484681E-02    1.7743147E+00
 0.2600   -2.0629766E-02   -1.7524710E-02    1.3758216E+00
 0.2700   -1.3735048E-02   -1.2582518E-02    1.0546760E+00
 0.2800   -6.6820633E-03   -6.5831919E-03    7.9812835E-01
 0.2900    5.1849815E-04    5.4796532E-04    5.9470528E-01
 0.3000    7.8563732E-03    8.8853487E-03    4.3429949E-01
 0.3100    1.5321442E-02    1.8502606E-02    3.0817930E-01
 0.3200    2.2903340E-02    2.9471934E-02    2.0893689E-01
 0.3300    3.0591236E-02    4.1863426E-02    1.3039347E-01
 0.3400    3.8373892E-02    5.5744696E-02    6.7477221E-02
 0.3500    4.6239896E-02    7.1180789E-02    1.6087480E-02
 0.3600    5.4177845E-02    8.8234127E-02   -2.7043934E-02
 0.3700    6.2176408E-02    1.0696432E-01   -6.4486294E-02
 0.3800    7.0224273E-02    1.2742784E-01   -9.8233145E-02
 0.3900    7.8310102E-02    1.4967762E-01   -1.2981207E-01
 0.4000    8.6422521E-02    1.7376279E-01   -1.6037977E-01
 0.4100    9.4550161E-02    1.9972841E-01   -1.9080225E-01
 0.4200    1.0268169E-01    2.2761531E-01   -2.2172100E-01
 0.4300    1.1080586E-01    2.5745985E-01   -2.5360633E-01
 0.4400    1.1891150E-01    2.8929376E-01   -2.8679952E-01
 0.4500    1.2698753E-01    3.2314390E-01   -3.2154552E-01
 0.4600    1.3502296E-01    3.5903200E-01   -3.5801792E-01
 0.4700    1.4300696E-01    3.9697462E-01   -3.9633764E-01
 0.4800    1.5092881E-01    4.3698296E-01   -4.3658683E-01
 0.4900    1.5877804E-01    4.7906280E-01   -4.7881890E-01
 0.5000    1.6654431E-01    5.2321439E-01   -5.2306572E-01
 0.5100    1.7421756E-01    5.6943237E-01   -5.6934265E-01
 0.5200    1.8178794E-01    6.1770573E-01   -6.1765212E-01
 0.5300    1.8924589E-01    6.6801785E-01   -6.6798614E-01
 0.5400    1.9658212E-01    7.2034642E-01   -7.2032785E-01
 0.5500    2.0378762E-01    7.7466340E-01   -7.7465263E-01
 0.5600    2.1085363E-01    8.3093490E-01   -8.3092872E-01
 0.5700    2.1777171E-01    8.8912133E-01   -8.8911782E-01
 0.5800    2.2453372E-01    9.4917746E-01   -9.4917548E-01
 0.5900    2.3113189E-01    1.0110526E+00   -1.0110515E+00
 0.6000    2.3755880E-01    1.0746907E+00   -1.0746901E+00
 0.6100    2.4380733E-01    1.1400300E+00   -1.1400297E+00
 0.6200    2.4987070E-01    1.2070036E+00   -1.2070034E+00
 0.6300    2.5574244E-01    1.2755391E+00   -1.2755390E+00
 0.6400    2.6141649E-01    1.3455591E+00   -1.3455591E+00
 0.6500    2.6688720E-01    1.4169820E+00   -1.4169819E+00
 0.6600    2.7214933E-01    1.4897212E+00   -1.4897212E+00
 0.6700    2.7719801E-01    1.5636861E+00   -1.5636861E+00
 0.6800    2.8202867E-01    1.6387811E+00   -1.6387811E+00
 0.6900    2.8663710E-01    1.7149065E+00   -1.7149065E+00
 0.7000    2.9101945E-01    1.7919586E+00   -1.7919586E+00
 0.7100    2.9517233E-01    1.8698304E+00   -1.8698304E+00
 0.7200    2.9909279E-01    1.9484120E+00   -1.9484120E+00
 0.7300    3.0277832E-01    2.0275910E+00   -2.0275910E+00
 0.7400    3.0622682E-01    2.1072523E+00   -2.1072523E+00
 0.7500    3.0943652E-01    2.1872779E+00   -2.1872779E+00
 0.7600    3.1240594E-01    2.2675472E+00   -2.2675472E+00
 0.7700    3.1513390E-01    2.3479370E+00   -2.3479370E+00
 0.7800    3.1761955E-01    2.4283221E+00   -2.4283221E+00
 0.7900    3.1986234E-01    2.5085754E+00   -2.5085754E+00
 0.8000    3.2186212E-01    2.5885688E+00   -2.5885688E+00
 0.8100    3.2361910E-01    2.6681734E+00   -2.6681734E+00
 0.8200    3.2513387E-01    2.7472601E+00   -2.7472601E+00
 0.8300    3.2640737E-01    2.8256997E+00   -2.8256997E+00
 0.8400    3.2744085E-01    2.9033627E+00   -2.9033627E+00
 0.8500    3.2823584E-01    2.9801198E+00   -2.9801198E+00
 0.8600    3.2879420E-01    3.0558422E+00   -3.0558422E+00
 0.8700    3.2911812E-01    3.1304024E+00   -3.1304024E+00
 0.8800    3.2921015E-01    3.2036748E+00   -3.2036748E+00
 0.8900    3.2907317E-01    3.2755358E+00   -3.2755358E+00
 0.9000    3.2871034E-01    3.3458638E+00   -3.3458638E+00
 0.9100    3.2812507E-01    3.4145389E+00   -3.4145389E+00
 0.9200    3.2732098E-01    3.4814436E+00   -3.4814436E+00
 0.9300    3.2630198E-01    3.5464633E+00   -3.5464633E+00
 0.9400    3.2507221E-01    3.6094865E+00   -3.6094865E+00
 0.9500    3.2363615E-01    3.6704060E+00   -3.6704060E+00
 0.9600    3.2199852E-01    3.7291187E+00   -3.7291187E+00
 0.9700    3.2016430E-01    3.7855261E+00   -3.7855261E+00
 0.9800    3.1813873E-01    3.8395343E+00   -3.8395343E+00
 0.9900    3.1592725E-01    3.8910547E+00   -3.8910547E+00
 1.0000    3.1353554E-01    3.9400038E+00   -3.9400038E+00
 1.0100    3.1096944E-01    3.9863031E+00   -3.9863031E+00
 1.0200    3.0823497E-01    4.0298800E+00   -4.0298800E+00
 1.0300    3.0533833E-01    4.0706676E+00   -4.0706676E+00
 1.0400    3.0228591E-01    4.1086055E+00   -4.1086055E+00
 1.0500    2.9908430E-01    4.1436406E+00   -4.1436406E+00
 1.0600    2.9574028E-01    4.1757267E+00   -4.1757267E+00
 1.0700    2.9226078E-01    4.2048254E+00   -4.2048254E+00
 1.0800    2.8865288E-01    4.2309049E+00   -4.2309049E+00
 1.0900    2.8492371E-01    4.2539409E+00   -4.2539409E+00
 1.1000    2.8108053E-01    4.2739161E+00   -4.2739161E+00
 1.1100    2.7713066E-01    4.2908210E+00   -4.2908210E+00
 1.1200    2.7308151E-01    4.3046535E+00   -4.3046535E+00
 1.1300    2.6894055E-01    4.3154196E+00   -4.3154196E+00
 1.1400    2.6471528E-01    4.3231328E+00   -4.3231328E+00
 1.1500    2.6041325E-01    4.3278143E+00   -4.3278143E+00
