# total charge: 6.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -3.6340777E-01   -0.0000000E+00    4.7873074E+01
 0.0100   -3.6231005E-01   -4.5529223E-04    4.7634761E+01
 0.0200   -3.6092331E-01   -1.8141984E-03    4.6926937E+01
 0.0300   -3.5918947E-01   -4.0623371E-03    4.5770600E+01
 0.0400   -3.5704677E-01   -7.1788512E-03    4.4199596E+01
 0.0500   -3.5442748E-01   -1.1134668E-02    4.2258974E+01
 0.0600   -3.5125653E-01   -1.5890471E-02    4.0002843E+01
 0.0700   -3.4745781E-01   -2.1394790E-02    3.7491867E+01
 0.0800   -3.4296921E-01   -2.7583220E-02    3.4790570E+01
 0.0900   -3.3775793E-01   -3.4379569E-02    3.1964610E+01
 0.1000   -3.3182499E-01   -4.1698357E-02    2.9078185E+01
 0.1100   -3.2519677E-01   -4.9447171E-02    2.6191708E+01
 0.1200   -3.1791052E-01   -5.7527733E-02    2.3359854E+01
 0.1300   -3.1000253E-01   -6.5835753E-02    2.0630067E+01
 0.1400   -3.0150286E-01   -7.4260415E-02    1.8041556E+01
 0.1500   -2.9243604E-01   -8.2684341E-02    1.5624796E+01
 0.1600   -2.8282450E-01   -9.0984382E-02    1.3401485E+01
 0.1700   -2.7269175E-01   -9.9032948E-02    1.1384922E+01
 0.1800   -2.6206313E-01   -1.0669911E-01    9.5807181E+00
 0.1900   -2.5096393E-01   -1.1384878E-01    7.9877466E+00
 0.2000   -2.3941684E-01   -1.2034403E-01    6.5992600E+00
 0.2100   -2.2744095E-01   -1.2604253E-01    5.4040741E+00
 0.2200   -2.1505317E-01   -1.3079799E-01    4.3877491E+00
 0.2300   -2.0227090E-01   -1.3446181E-01    3.5337063E+00
 0.2400   -1.8911402E-01   -1.3688507E-01    2.8242287E+00
 0.2500   -1.7560539E-01   -1.3792015E-01    2.2413162E+00
 0.2600   -1.6177012E-01   -1.3742156E-01    1.7673779E+00
 0.2700   -1.4763441E-01   -1.3524618E-01    1.3857584E+00
 0.2800   -1.3322440E-01   -1.3125314E-01    1.0811073E+00
 0.2900   -1.1856536E-01   -1.2530364E-01    8.3960753E-01
 0.3000   -1.0368156E-01   -1.1726109E-01    6.4908290E-01
 0.3100   -8.8596683E-02   -1.0699185E-01    4.9901014E-01
 0.3200   -7.3334483E-02   -9.4366545E-02    3.8045713E-01
 0.3300   -5.7919268E-02   -7.9261230E-02    2.8596950E-01
 0.3400   -4.2375857E-02   -6.1558239E-02    2.0942454E-01
 0.3500   -2.6729236E-02   -4.1146463E-02    1.4586839E-01
 0.3600   -1.1004203E-02   -1.7921463E-02    9.1349694E-02
 0.3700    4.7748153E-03    8.2142873E-03    4.2759345E-02
 0.3800    2.0583765E-02    3.7350969E-02   -2.3173375E-03
 0.3900    3.6398916E-02    6.9570884E-02   -4.5732228E-02
 0.4000    5.2196820E-02    1.0494793E-01   -8.8888307E-02
 0.4100    6.7954300E-02    1.4354713E-01   -1.3283573E-01
 0.4200    8.3648468E-02    1.8542421E-01   -1.7835104E-01
 0.4300    9.9256783E-02    2.3062531E-01   -2.2600109E-01
 0.4400    1.1475714E-01    2.7918683E-01   -2.7619373E-01
 0.4500    1.3012796E-01    3.3113531E-01   -3.2921727E-01
 0.4600    1.4534823E-01    3.8648735E-01   -3.8527045E-01
 0.4700    1.6039754E-01    4.4524933E-01   -4.4448495E-01
 0.4800    1.7525592E-01    5.0741703E-01   -5.0694167E-01
 0.4900    1.8990387E-01    5.7297520E-01   -5.7268253E-01
 0.5000    2.0432224E-01    6.4189726E-01   -6.4171885E-01
 0.5100    2.1849245E-01    7.1414540E-01   -7.1403773E-01
 0.5200    2.3239654E-01    7.8967105E-01   -7.8960672E-01
 0.5300    2.4601740E-01    8.6841523E-01   -8.6837718E-01
 0.5400    2.5933863E-01    9.5030845E-01   -9.5028617E-01
 0.5500    2.7234442E-01    1.0352702E+00   -1.0352573E+00
 0.5600    2.8501951E-01    1.1232088E+00   -1.1232014E+00
 0.5700    2.9734915E-01    1.2140212E+00   -1.2140170E+00
 0.5800    3.0931931E-01    1.3075939E+00   -1.3075915E+00
 0.5900    3.2091676E-01    1.4038034E+00   -1.4038021E+00
 0.6000    3.3212910E-01    1.5025166E+00   -1.5025159E+00
 0.6100    3.4294467E-01    1.6035909E+00   -1.6035905E+00
 0.6200    3.5335254E-01    1.7068740E+00   -1.7068738E+00
 0.6300    3.6334248E-01    1.8122042E+00   -1.8122041E+00
 0.6400    3.7290504E-01    1.9194114E+00   -1.9194113E+00
 0.6500    3.8203159E-01    2.0283171E+00   -2.0283171E+00
 0.6600    3.9071438E-01    2.1387358E+00   -2.1387358E+00
 0.6700    3.9894650E-01    2.2504747E+00   -2.2504747E+00
 0.6800    4.0672190E-01    2.3633348E+00   -2.3633348E+00
 0.6900    4.1403537E-01    2.4771111E+00   -2.4771111E+00
 0.7000    4.2088260E-01    2.5915937E+00   -2.5915937E+00
 0.7100    4.2726016E-01    2.7065681E+00   -2.7065681E+00
 0.7200    4.3316556E-01    2.8218166E+00   -2.8218166E+00
 0.7300    4.3859728E-01    2.9371188E+00   -2.9371188E+00
 0.7400    4.4355469E-01    3.0522526E+00   -3.0522526E+00
 0.7500    4.4803807E-01    3.1669945E+00   -3.1669945E+00
 0.7600    4.5204851E-01    3.2811199E+00   -3.2811199E+00
 0.7700    4.5558795E-01    3.3944041E+00   -3.3944041E+00
 0.7800    4.5865907E-01    3.5066228E+00   -3.5066228E+00
 0.7900    4.6126537E-01    3.6175530E+00   -3.6175530E+00
 0.8000    4.6341115E-01    3.7269736E+00   -3.7269736E+00
 0.8100    4.6510153E-01    3.8346672E+00   -3.8346672E+00
 0.8200    4.6634255E-01    3.9404209E+00   -3.9404209E+00
 0.8300    4.6714102E-01    4.0440271E+00   -4.0440271E+00
 0.8400    4.6750449E-01    4.1452834E+00   -4.1452834E+00
 0.8500    4.6744110E-01    4.2439925E+00   -4.2439925E+00
