# total charge: 7.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -4.9221512E-01   -0.0000000E+00    5.5851919E+01
 0.0100   -4.9062072E-01   -6.1653218E-04    5.5573973E+01
 0.0200   -4.8860667E-01   -2.4560050E-03    5.4748433E+01
 0.0300   -4.8608874E-01   -5.4975341E-03    5.3399792E+01
 0.0400   -4.8297757E-01   -9.7108402E-03    5.1567530E+01
 0.0500   -4.7917528E-01   -1.5053735E-02    4.9304199E+01
 0.0600   -4.7457357E-01   -2.1469203E-02    4.6672914E+01
 0.0700   -4.6906282E-01   -2.8882644E-02    4.3744433E+01
 0.0800   -4.6255392E-01   -3.7200794E-02    4.0594018E+01
 0.0900   -4.5500048E-01   -4.6313408E-02    3.7298248E+01
 0.1000   -4.4640535E-01   -5.6096950E-02    3.3931998E+01
 0.1100   -4.3680836E-01   -6.6418058E-02    3.0565723E+01
 0.1200   -4.2626532E-01   -7.7135154E-02    2.7263183E+01
 0.1300   -4.1483078E-01   -8.8098303E-02    2.4079701E+01
 0.1400   -4.0255049E-01   -9.9148533E-02    2.1060994E+01
 0.1500   -3.8946222E-01   -1.1011785E-01    1.8242581E+01
 0.1600   -3.7560076E-01   -1.2083042E-01    1.5649747E+01
 0.1700   -3.6100241E-01   -1.3110456E-01    1.3297975E+01
 0.1800   -3.4570611E-01   -1.4075438E-01    1.1193777E+01
 0.1900   -3.2975086E-01   -1.4959015E-01    9.3358042E+00
 0.2000   -3.1317217E-01   -1.5741750E-01    7.7161528E+00
 0.2100   -2.9600055E-01   -1.6403668E-01    6.3217401E+00
 0.2200   -2.7826355E-01   -1.6924333E-01    5.1356863E+00
 0.2300   -2.5998945E-01   -1.7283085E-01    4.1386161E+00
 0.2400   -2.4120999E-01   -1.7459333E-01    3.3098276E+00
 0.2500   -2.2196105E-01   -1.7432780E-01    2.6282899E+00
 0.2600   -2.0228158E-01   -1.7183550E-01    2.0734512E+00
 0.2700   -1.8221196E-01   -1.6692227E-01    1.6258531E+00
 0.2800   -1.6179251E-01   -1.5939854E-01    1.2675618E+00
 0.2900   -1.4106243E-01   -1.4907926E-01    9.8243380E-01
 0.3000   -1.2005960E-01   -1.3578421E-01    7.5624299E-01
 0.3100   -9.8821034E-02   -1.1933907E-01    5.7669374E-01
 0.3200   -7.7383666E-02   -9.9577020E-02    4.3334937E-01
 0.3300   -5.5784864E-02   -7.6340346E-02    3.1750000E-01
 0.3400   -3.4062393E-02   -4.9481500E-02    2.2199218E-01
 0.3500   -1.2254009E-02   -1.8863581E-02    1.4103916E-01
 0.3600    9.6030057E-03    1.5639471E-02    7.0026799E-02
 0.3700    3.1472109E-02    5.4142606E-02    5.3266317E-03
 0.3800    5.3317551E-02    9.6749171E-02   -5.5876601E-02
 0.3900    7.5104296E-02    1.4355022E-01   -1.1573845E-01
 0.4000    9.6797918E-02    1.9462376E-01   -1.7588753E-01
 0.4100    1.1836457E-01    2.5003413E-01   -2.3753750E-01
 0.4200    1.3977105E-01    3.0983157E-01   -3.0157954E-01
 0.4300    1.6098496E-01    3.7405208E-01   -3.6865716E-01
 0.4400    1.8197490E-01    4.4271753E-01   -4.3922558E-01
