# total charge: 8.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -6.8338912E-01   -0.0000000E+00    6.3830765E+01
 0.0100   -6.8112620E-01   -8.5592842E-04    6.3513264E+01
 0.0200   -6.7826751E-01   -3.4093443E-03    6.2570240E+01
 0.0300   -6.7469335E-01   -7.6306021E-03    6.1029681E+01
 0.0400   -6.7027657E-01   -1.3476710E-02    5.8936699E+01
 0.0500   -6.6487780E-01   -2.0887752E-02    5.6351340E+01
 0.0600   -6.5834278E-01   -2.9782726E-02    5.3345719E+01
 0.0700   -6.5051540E-01   -4.0055626E-02    5.0000685E+01
 0.0800   -6.4126885E-01   -5.1573901E-02    4.6402222E+01
 0.0900   -6.3053701E-01   -6.4180850E-02    4.2637821E+01
 0.1000   -6.1832374E-01   -7.7700852E-02    3.8793017E+01
 0.1100   -6.0468524E-01   -9.1944256E-02    3.4948293E+01
 0.1200   -5.8970021E-01   -1.0670964E-01    3.1176478E+01
 0.1300   -5.7344546E-01   -1.2178357E-01    2.7540758E+01
 0.1400   -5.5598534E-01   -1.3693967E-01    2.4093334E+01
 0.1500   -5.3737317E-01   -1.5193868E-01    2.0874754E+01
 0.1600   -5.1765845E-01   -1.6653025E-01    1.7913864E+01
 0.1700   -4.9689327E-01   -1.8045579E-01    1.5228308E+01
 0.1800   -4.7513388E-01   -1.9345095E-01    1.2825476E+01
 0.1900   -4.5243702E-01   -2.0524623E-01    1.0703777E+01
 0.2000   -4.2885474E-01   -2.1556590E-01    8.8541205E+00
 0.2100   -4.0443236E-01   -2.2412709E-01    7.2615024E+00
 0.2200   -3.7921133E-01   -2.3064101E-01    5.9065759E+00
 0.2300   -3.5323446E-01   -2.3481650E-01    4.7671425E+00
 0.2400   -3.2654993E-01   -2.3636434E-01    3.8194892E+00
 0.2500   -2.9921213E-01   -2.3500066E-01    3.0395287E+00
 0.2600   -2.7128014E-01   -2.3044886E-01    2.4037239E+00
 0.2700   -2.4281539E-01   -2.2244036E-01    1.8897899E+00
 0.2800   -2.1387942E-01   -2.1071475E-01    1.4771870E+00
 0.2900   -1.8453256E-01   -1.9501987E-01    1.1474251E+00
 0.3000   -1.5483349E-01   -1.7511255E-01    8.8420830E-01
 0.3100   -1.2483993E-01   -1.5076022E-01    6.7345127E-01
 0.3200   -9.4609628E-02   -1.2174332E-01    5.0319744E-01
 0.3300   -6.4201018E-02   -8.7857665E-02    3.6346870E-01
 0.3400   -3.3673125E-02   -4.8916021E-02    2.4607109E-01
 0.3500   -3.0849608E-03   -4.7489282E-03    1.4437816E-01
 0.3600    2.7505194E-02    4.4795005E-02    5.3109304E-02
 0.3700    5.8040274E-02    9.9848780E-02   -3.1883937E-02
 0.3800    8.8464580E-02    1.6052640E-01   -1.1381490E-01
 0.3900    1.1872369E-01    2.2692194E-01   -1.9513706E-01
 0.4000    1.4876431E-01    2.9910839E-01   -2.7769556E-01
 0.4100    1.7853419E-01    3.7713686E-01   -3.6285499E-01
 0.4200    2.0798234E-01    4.6103607E-01   -4.5160518E-01
 0.4300    2.3705937E-01    5.5081264E-01   -5.4464701E-01
 0.4400    2.6571785E-01    6.4645150E-01   -6.4246070E-01
 0.4500    2.9391257E-01    7.4791639E-01   -7.4535899E-01
 0.4600    3.2160057E-01    8.5515006E-01   -8.5352753E-01
 0.4700    3.4874106E-01    9.6807425E-01   -9.6705508E-01
 0.4800    3.7529530E-01    1.0865894E+00   -1.0859556E+00
 0.4900    4.0122638E-01    1.2105745E+00   -1.2101842E+00
 0.5000    4.2649923E-01    1.3398868E+00   -1.3396490E+00
 0.5100    4.5108081E-01    1.4743635E+00   -1.4742199E+00
 0.5200    4.7494054E-01    1.6138226E+00   -1.6137368E+00
 0.5300    4.9805048E-01    1.7580651E+00   -1.7580144E+00
 0.5400    5.2038520E-01    1.9068754E+00   -1.9068457E+00
 0.5500    5.4192150E-01    2.0600209E+00   -2.0600037E+00
 0.5600    5.6263808E-01    2.2172519E+00   -2.2172420E+00
 0.5700    5.8251558E-01    2.3783027E+00   -2.3782970E+00
 0.5800    6.0153664E-01    2.5428921E+00   -2.5428890E+00
 0.5900    6.1968600E-01    2.7107257E+00   -2.7107239E+00
 0.6000    6.3695050E-01    2.8814962E+00   -2.8814952E+00
 0.6100    6.5331897E-01    3.0548846E+00   -3.0548840E+00
 0.6200    6.6878219E-01    3.2305610E+00   -3.2305607E+00
 0.6300    6.8333286E-01    3.4081859E+00   -3.4081857E+00
