# total charge: 9.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -8.9387718E-01   -0.0000000E+00    7.1809610E+01
 0.0100   -8.9056032E-01   -1.1191111E-03    7.1452578E+01
 0.0200   -8.8637068E-01   -4.4553850E-03    7.0392140E+01
 0.0300   -8.8113343E-01   -9.9653843E-03    6.8659772E+01
 0.0400   -8.7466338E-01   -1.7586151E-02    6.6306211E+01
 0.0500   -8.6675822E-01   -2.7230013E-02    6.3398989E+01
 0.0600   -8.5719477E-01   -3.8778578E-02    6.0019207E+01
 0.0700   -8.4574799E-01   -5.2077115E-02    5.6257785E+01
 0.0800   -8.3223660E-01   -6.6932439E-02    5.2211412E+01
 0.0900   -8.1656898E-01   -8.3116598E-02    4.7978462E+01
 0.1000   -7.9875663E-01   -1.0037472E-01    4.3655105E+01
 0.1100   -7.7888834E-01   -1.1843237E-01    3.9331824E+01
 0.1200   -7.5708637E-01   -1.3699912E-01    3.5090489E+01
 0.1300   -7.3347073E-01   -1.5576840E-01    3.1002115E+01
 0.1400   -7.0814361E-01   -1.7441638E-01    2.7125360E+01
 0.1500   -6.8119138E-01   -1.9260232E-01    2.3505770E+01
 0.1600   -6.5269471E-01   -2.0997129E-01    2.0175722E+01
 0.1700   -6.2273785E-01   -2.2615853E-01    1.7154992E+01
 0.1800   -5.9141066E-01   -2.4079309E-01    1.4451822E+01
 0.1900   -5.5880346E-01   -2.5349894E-01    1.2064346E+01
 0.2000   -5.2499971E-01   -2.6389364E-01    9.9822676E+00
 0.2100   -4.9007326E-01   -2.7158730E-01    8.1886346E+00
 0.2200   -4.5409247E-01   -2.7618464E-01    6.6616114E+00
 0.2300   -4.1712760E-01   -2.7729016E-01    5.3761570E+00
 0.2400   -3.7925626E-01   -2.7451439E-01    4.3055298E+00
 0.2500   -3.4056437E-01   -2.6747863E-01    3.4225727E+00
 0.2600   -3.0114389E-01   -2.5581771E-01    2.7007522E+00
 0.2700   -2.6108948E-01   -2.3918105E-01    2.1149493E+00
 0.2800   -2.2049578E-01   -2.1723320E-01    1.6420145E+00
 0.2900   -1.7945569E-01   -1.8965447E-01    1.2611103E+00
 0.3000   -1.3805995E-01   -1.5614213E-01    9.5387484E-01
 0.3100   -9.6397817E-02   -1.1641272E-01    7.0444015E-01
 0.3200   -5.4557997E-02   -7.0205032E-02    4.9934091E-01
 0.3300   -1.2629365E-02   -1.7283005E-02    3.2734541E-01
 0.3400    2.9299131E-02    4.2562041E-02    1.7923741E-01
 0.3500    7.1139115E-02    1.0951016E-01    4.7572725E-02
 0.3600    1.1280363E-01    1.8371217E-01   -7.3569827E-02
 0.3700    1.5420779E-01    2.6528924E-01   -1.8882879E-01
 0.3800    1.9526904E-01    3.5433206E-01   -3.0178161E-01
