# total charge: 10.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -1.2398091E+00   -0.0000000E+00    7.9788456E+01
 0.0100   -1.2350037E+00   -1.5519514E-03    7.9392061E+01
 0.0200   -1.2289349E+00   -6.1773004E-03    7.8214716E+01
 0.0300   -1.2213506E+00   -1.3813150E-02    7.6291376E+01
 0.0400   -1.2119851E+00   -2.4368407E-02    7.3678396E+01
 0.0500   -1.2005492E+00   -3.7716365E-02    7.0450782E+01
 0.0600   -1.1867246E+00   -5.3686155E-02    6.6698607E+01
 0.0700   -1.1701915E+00   -7.2054793E-02    6.2522841E+01
 0.0800   -1.1506938E+00   -9.2544287E-02    5.8030855E+01
 0.0900   -1.1281056E+00   -1.1482716E-01    5.3331877E+01
 0.1000   -1.1024507E+00   -1.3853805E-01    4.8532683E+01
 0.1100   -1.0738659E+00   -1.6328463E-01    4.3733720E+01
 0.1200   -1.0425376E+00   -1.8865316E-01    3.9025864E+01
 0.1300   -1.0086502E+00   -2.1420872E-01    3.4487927E+01
 0.1400   -9.7236337E-01   -2.3949394E-01    3.0184987E+01
 0.1500   -9.3381417E-01   -2.6402974E-01    2.6167549E+01
 0.1600   -8.9313084E-01   -2.8731938E-01    2.2471486E+01
 0.1700   -8.5044550E-01   -3.0885469E-01    1.9118670E+01
 0.1800   -8.0589746E-01   -3.2812148E-01    1.6118153E+01
 0.1900   -7.5962662E-01   -3.4460156E-01    1.3467765E+01
 0.2000   -7.1176405E-01   -3.5777163E-01    1.1155965E+01
 0.2100   -6.6242829E-01   -3.6710249E-01    9.1638217E+00
 0.2200   -6.1173072E-01   -3.7206217E-01    7.4669807E+00
 0.2300   -5.5978518E-01   -3.7212336E-01    6.0375309E+00
 0.2400   -5.0671503E-01   -3.6677196E-01    4.8456780E+00
 0.2500   -4.5265412E-01   -3.5551371E-01    3.8611738E+00
 0.2600   -3.9774353E-01   -3.3787782E-01    3.0544717E+00
 0.2700   -3.4212716E-01   -3.1341872E-01    2.3976057E+00
 0.2800   -2.8594819E-01   -2.8171715E-01    1.8648075E+00
 0.2900   -2.2934720E-01   -2.4238141E-01    1.4328879E+00
 0.3000   -1.7246152E-01   -1.9504938E-01    1.0814191E+00
 0.3100   -1.1542569E-01   -1.3939132E-01    7.9275513E-01
 0.3200   -5.8372200E-02   -7.5113134E-02    5.5193077E-01
 0.3300   -1.4320863E-03   -1.9597782E-03    3.4647357E-01
 0.3400    5.5265139E-02    8.0282144E-02    1.6616169E-01
 0.3500    1.1159209E-01    1.7178267E-01    2.7538655E-03
 0.3600    1.6742455E-01    2.7266789E-01   -1.5028750E-01
 0.3700    2.2264249E-01    3.8301992E-01   -2.9806386E-01
 0.3800    2.7713052E-01    5.0287659E-01   -4.4448720E-01
 0.3900    3.3077758E-01    6.3223006E-01   -5.9249897E-01
 0.4000    3.8347624E-01    7.7102473E-01   -7.4425869E-01
 0.4100    4.3512245E-01    9.1915566E-01   -9.0130332E-01
 0.4200    4.8561605E-01    1.0764689E+00   -1.0646803E+00
 0.4300    5.3486201E-01    1.2427636E+00   -1.2350566E+00
 0.4400    5.8277159E-01    1.4177955E+00   -1.4128070E+00
 0.4500    6.2926296E-01    1.6012792E+00   -1.5980824E+00
 0.4600    6.7426118E-01    1.7928902E+00   -1.7908620E+00
 0.4700    7.1769776E-01    1.9922653E+00   -1.9909913E+00
 0.4800    7.5950994E-01    2.1990029E+00   -2.1982106E+00
 0.4900    7.9964001E-01    2.4126623E+00   -2.4121745E+00
 0.5000    8.3803522E-01    2.6327653E+00   -2.6324680E+00
