# total charge: 11.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    7.6711025E-01    0.0000000E+00    8.7767302E+01
 0.0100    7.6813012E-01    9.6526078E-04    8.7328595E+01
 0.0200    7.6941845E-01    3.8675190E-03    8.6025525E+01
 0.0300    7.7102910E-01    8.7201337E-03    8.3896599E+01
 0.0400    7.7301927E-01    1.5542475E-02    8.1003888E+01
 0.0500    7.7545162E-01    2.4361531E-02    7.7430010E+01
 0.0600    7.7839554E-01    3.5213785E-02    7.3274199E+01
 0.0700    7.8192136E-01    4.8146977E-02    6.8647718E+01
 0.0800    7.8608644E-01    6.3220823E-02    6.3668921E+01
 0.0900    7.9092101E-01    8.0505953E-02    5.8458249E+01
 0.1000    7.9642386E-01    1.0008157E-01    5.3133478E+01
 0.1100    8.0256999E-01    1.2203324E-01    4.7805446E+01
 0.1200    8.0932377E-01    1.4645178E-01    4.2574480E+01
 0.1300    8.1664980E-01    1.7343328E-01    3.7527657E+01
 0.1400    8.2451785E-01    2.0307946E-01    3.2736963E+01
 0.1500    8.3290268E-01    2.3549769E-01    2.8258373E+01
 0.1600    8.4178120E-01    2.7080024E-01    2.4131783E+01
 0.1700    8.5112954E-01    3.0910311E-01    2.0381694E+01
 0.1800    8.6092203E-01    3.5052475E-01    1.7018510E+01
 0.1900    8.7113215E-01    3.9518560E-01    1.4040294E+01
 0.2000    8.8173441E-01    4.4320806E-01    1.1434805E+01
 0.2100    8.9270528E-01    4.9471669E-01    9.1816744E+00
 0.2200    9.0402260E-01    5.4983770E-01    7.2545727E+00
 0.2300    9.1566423E-01    6.0869787E-01    5.6232504E+00
 0.2400    9.2760665E-01    6.7142298E-01    4.2553737E+00
 0.2500    9.3982351E-01    7.3813565E-01    3.1180905E+00
 0.2600    9.5228420E-01    8.0895272E-01    2.1793005E+00
 0.2700    9.6495337E-01    8.8398261E-01    1.4086230E+00
 0.2800    9.7779250E-01    9.6332455E-01    7.7807480E-01
 0.2900    9.9076323E-01    1.0470701E+00    2.6248707E-01
 0.3000    1.0038307E+00    1.1353058E+00   -1.6029911E-01
 0.3100    1.0169647E+00    1.2281152E+00   -5.0941503E-01
 0.3200    1.0301382E+00    1.3255781E+00   -8.0107869E-01
 0.3300    1.0433244E+00    1.4277662E+00   -1.0488010E+00
 0.3400    1.0564930E+00    1.5347382E+00   -1.2636500E+00
 0.3500    1.0696089E+00    1.6465350E+00   -1.4545448E+00
 0.3600    1.0826333E+00    1.7631784E+00   -1.6285599E+00
 0.3700    1.0955261E+00    1.8846731E+00   -1.7912214E+00
 0.3800    1.1082494E+00    2.0110115E+00   -1.9467832E+00
 0.3900    1.1207694E+00    2.1421770E+00   -2.0984728E+00
 0.4000    1.1330557E+00    2.2781437E+00   -2.2487011E+00
 0.4100    1.1450781E+00    2.4188708E+00   -2.3992332E+00
 0.4200    1.1568019E+00    2.5642918E+00   -2.5513243E+00
 0.4300    1.1681868E+00    2.7143075E+00   -2.7058298E+00
 0.4400    1.1791893E+00    2.8687899E+00   -2.8633026E+00
 0.4500    1.1897714E+00    3.0275995E+00   -3.0240831E+00
 0.4600    1.1999070E+00    3.1906057E+00   -3.1883747E+00
 0.4700    1.2095817E+00    3.3576915E+00   -3.3562901E+00
 0.4800    1.2187835E+00    3.5287338E+00   -3.5278624E+00
 0.4900    1.2274922E+00    3.7035719E+00   -3.7030353E+00
 0.5000    1.2356758E+00    3.8819900E+00   -3.8816629E+00
 0.5100    1.2432972E+00    4.0637332E+00   -4.0635358E+00
 0.5200    1.2503270E+00    4.2485444E+00   -4.2484264E+00
 0.5300    1.2567487E+00    4.4361892E+00   -4.4361194E+00
 0.5400    1.2625537E+00    4.6264432E+00   -4.6264023E+00
 0.5500    1.2677271E+00    4.8190455E+00   -4.8190218E+00
 0.5600    1.2722388E+00    5.0136563E+00   -5.0136427E+00
 0.5700    1.2760459E+00    5.2098577E+00   -5.2098500E+00
 0.5800    1.2791070E+00    5.4072035E+00   -5.4071992E+00
 0.5900    1.2813978E+00    5.6052872E+00   -5.6052848E+00
 0.6000    1.2829169E+00    5.8037793E+00   -5.8037779E+00
 0.6100    1.2836778E+00    6.0024085E+00   -6.0024078E+00
 0.6200    1.2836943E+00    6.2009021E+00   -6.2009017E+00
 0.6300    1.2829691E+00    6.3989272E+00   -6.3989270E+00
 0.6400    1.2814913E+00    6.5960731E+00   -6.5960730E+00
 0.6500    1.2792438E+00    6.7918782E+00   -6.7918781E+00
 0.6600    1.2762133E+00    6.9858781E+00   -6.9858781E+00
 0.6700    1.2723955E+00    7.1776386E+00   -7.1776386E+00
 0.6800    1.2677938E+00    7.3667567E+00   -7.3667567E+00
 0.6900    1.2624151E+00    7.5528392E+00   -7.5528392E+00
 0.7000    1.2562651E+00    7.7354793E+00   -7.7354793E+00
 0.7100    1.2493462E+00    7.9142426E+00   -7.9142426E+00
 0.7200    1.2416588E+00    8.0886704E+00   -8.0886704E+00
 0.7300    1.2332042E+00    8.2582984E+00   -8.2582984E+00
 0.7400    1.2239875E+00    8.4226800E+00   -8.4226800E+00
 0.7500    1.2140196E+00    8.5813990E+00   -8.5813990E+00
 0.7600    1.2033151E+00    8.7340648E+00   -8.7340648E+00
 0.7700    1.1918901E+00    8.8802976E+00   -8.8802976E+00
 0.7800    1.1797610E+00    9.0197214E+00   -9.0197214E+00
 0.7900    1.1669451E+00    9.1519676E+00   -9.1519676E+00
 0.8000    1.1534610E+00    9.2766834E+00   -9.2766834E+00
 0.8100    1.1393290E+00    9.3935353E+00   -9.3935353E+00
 0.8200    1.1245711E+00    9.5022074E+00   -9.5022074E+00
 0.8300    1.1092103E+00    9.6024033E+00   -9.6024033E+00
 0.8400    1.0932717E+00    9.6938559E+00   -9.6938559E+00
 0.8500    1.0767842E+00    9.7763419E+00   -9.7763419E+00
 0.8600    1.0597798E+00    9.8496864E+00   -9.8496864E+00
 0.8700    1.0422925E+00    9.9137502E+00   -9.9137502E+00
 0.8800    1.0243550E+00    9.9684056E+00   -9.9684056E+00
 0.8900    1.0059978E+00    1.0013523E+01   -1.0013523E+01
 0.9000    9.8724985E-01    1.0048979E+01   -1.0048979E+01
 0.9100    9.6814041E-01    1.0074674E+01   -1.0074674E+01
 0.9200    9.4869962E-01    1.0090536E+01   -1.0090536E+01
 0.9300    9.2895695E-01    1.0096512E+01   -1.0096512E+01
 0.9400    9.0894004E-01    1.0092548E+01   -1.0092548E+01
 0.9500    8.8867569E-01    1.0078604E+01   -1.0078604E+01
 0.9600    8.6819288E-01    1.0054687E+01   -1.0054687E+01
 0.9700    8.4752516E-01    1.0020882E+01   -1.0020882E+01
 0.9800    8.2671124E-01    9.9773650E+00   -9.9773650E+00
 0.9900    8.0579520E-01    9.9244153E+00   -9.9244153E+00
 1.0000    7.8482657E-01    9.8624215E+00   -9.8624215E+00
 1.0100    7.6385794E-01    9.7918603E+00   -9.7918603E+00
 1.0200    7.4293809E-01    9.7132112E+00   -9.7132112E+00
 1.0300    7.2210393E-01    9.6268460E+00   -9.6268460E+00
 1.0400    7.0137783E-01    9.5329777E+00   -9.5329777E+00
 1.0500    6.8077347E-01    9.4317241E+00   -9.4317241E+00
 1.0600    6.6030652E-01    9.3232467E+00   -9.3232467E+00
 1.0700    6.4000254E-01    9.2078687E+00   -9.2078687E+00
 1.0800    6.1989769E-01    9.0860975E+00   -9.0860975E+00
 1.0900    6.0003291E-01    8.9585543E+00   -8.9585543E+00
 1.1000    5.8044707E-01    8.8258767E+00   -8.8258767E+00
 1.1100    5.6117400E-01    8.6886712E+00   -8.6886712E+00
 1.1200    5.4224433E-01    8.5475359E+00   -8.5475359E+00
 1.1300    5.2368855E-01    8.4031058E+00   -8.4031058E+00
 1.1400    5.0553713E-01    8.2560559E+00   -8.2560559E+00
 1.1500    4.8781744E-01    8.1070502E+00   -8.1070502E+00
 1.1600    4.7055099E-01    7.9566918E+00   -7.9566918E+00
 1.1700    4.5375394E-01    7.8055228E+00   -7.8055228E+00
 1.1800    4.3743964E-01    7.6540626E+00   -7.6540626E+00
 1.1900    4.2161981E-01    7.5028246E+00   -7.5028246E+00
 1.2000    4.0630302E-01    7.3522863E+00   -7.3522863E+00
 1.2100    3.9149237E-01    7.2028422E+00   -7.2028422E+00
 1.2200    3.7718492E-01    7.0547860E+00   -7.0547860E+00
 1.2300    3.6337323E-01    6.9083292E+00   -6.9083292E+00
 1.2400    3.5004732E-01    6.7636323E+00   -6.7636323E+00
 1.2500    3.3719588E-01    6.6208256E+00   -6.6208256E+00
 1.2600    3.2480708E-01    6.4800213E+00   -6.4800213E+00
 1.2700    3.1286937E-01    6.3413300E+00   -6.3413300E+00
 1.2800    3.0137275E-01    6.2048856E+00   -6.2048856E+00
 1.2900    2.9030933E-01    6.0708608E+00   -6.0708608E+00
 1.3000    2.7967242E-01    5.9394498E+00   -5.9394498E+00
 1.3100    2.6945363E-01    5.8108076E+00   -5.8108076E+00
 1.3200    2.5963961E-01    5.6849764E+00   -5.6849764E+00
