# total charge: 7.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    1.3686632E+01    0.0000000E+00    5.5851919E+01
 0.0100    1.3664956E+01    1.7171890E-02    5.5556185E+01
 0.0200    1.3637572E+01    6.8549912E-02    5.4677427E+01
 0.0300    1.3603331E+01    1.5385005E-01    5.3240444E+01
 0.0400    1.3561013E+01    2.7266035E-01    5.1285159E+01
 0.0500    1.3509278E+01    4.2440650E-01    4.8864739E+01
 0.0600    1.3446642E+01    6.0831176E-01    4.6043133E+01
 0.0700    1.3371601E+01    8.2335923E-01    4.2892191E+01
 0.0800    1.3282933E+01    1.0682769E+00    3.9488541E+01
 0.0900    1.3179998E+01    1.3415604E+00    3.5910375E+01
 0.1000    1.3062827E+01    1.6415233E+00    3.2234378E+01
 0.1100    1.2931956E+01    1.9663438E+00    2.8532961E+01
 0.1200    1.2788136E+01    2.3140866E+00    2.4871961E+01
 0.1300    1.2632100E+01    2.6827002E+00    2.1308903E+01
 0.1400    1.2464464E+01    3.0700084E+00    1.7891837E+01
 0.1500    1.2285740E+01    3.4737112E+00    1.4658752E+01
 0.1600    1.2096406E+01    3.8914028E+00    1.1637514E+01
 0.1700    1.1896970E+01    4.3206001E+00    8.8462707E+00
 0.1800    1.1687984E+01    4.7587676E+00    6.2942545E+00
 0.1900    1.1470012E+01    5.2033248E+00    3.9828893E+00
 0.2000    1.1243577E+01    5.6516384E+00    1.9070969E+00
 0.2100    1.1009150E+01    6.1010170E+00    5.6686412E-02
 0.2200    1.0767173E+01    6.5487273E+00   -1.5822843E+00
 0.2300    1.0518113E+01    6.9920315E+00   -3.0262462E+00
 0.2400    1.0262499E+01    7.4282325E+00   -4.2929983E+00
 0.2500    1.0000927E+01    7.8547096E+00   -5.4007476E+00
 0.2600    9.7340441E+00    8.2689405E+00   -6.3673248E+00
 0.2700    9.4625288E+00    8.6685131E+00   -7.2095822E+00
 0.2800    9.1870694E+00    9.0511325E+00   -7.9429693E+00
 0.2900    8.9083515E+00    9.4146288E+00   -8.5812743E+00
