# total charge: 12.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    4.5738880E-01    0.0000000E+00    9.5746147E+01
 0.0100    4.6018769E-01    5.7828891E-04    9.5268033E+01
 0.0200    4.6372170E-01    2.3309195E-03    9.3847916E+01
 0.0300    4.6813648E-01    5.2944989E-03    9.1527781E+01
 0.0400    4.7358484E-01    9.5219882E-03    8.8375312E+01
 0.0500    4.8023202E-01    1.5086934E-02    8.4480591E+01
 0.0600    4.8825887E-01    2.2088311E-02    7.9951816E+01
 0.0700    4.9784628E-01    3.0654992E-02    7.4910289E+01
 0.0800    5.0913751E-01    4.0947268E-02    6.9485025E+01
 0.0900    5.2219976E-01    5.3153462E-02    6.3807307E+01
 0.1000    5.3701244E-01    6.7482973E-02    5.8005491E+01
 0.1100    5.5348785E-01    8.4159534E-02    5.2200363E+01
 0.1200    5.7150700E-01    1.0341747E-01    4.6501236E+01
 0.1300    5.9094934E-01    1.2550089E-01    4.1002961E+01
 0.1400    6.1170708E-01    1.5066398E-01    3.5783928E+01
 0.1500    6.3368675E-01    1.7917071E-01    3.0905052E+01
 0.1600    6.5680449E-01    2.1129340E-01    2.6409707E+01
 0.1700    6.8098020E-01    2.4731029E-01    2.2324468E+01
 0.1800    7.0613358E-01    2.8750258E-01    1.8660535E+01
 0.1900    7.3218238E-01    3.3215159E-01    1.5415644E+01
 0.2000    7.5904221E-01    3.8153623E-01    1.2576296E+01
 0.2100    7.8662746E-01    4.3593080E-01    1.0120132E+01
 0.2200    8.1485320E-01    4.9560377E-01    8.0182985E+00
 0.2300    8.4363766E-01    5.6081742E-01    6.2376716E+00
 0.2400    8.7290259E-01    6.3182693E-01    4.7428603E+00
 0.2500    9.0256822E-01    7.0887542E-01    3.4979167E+00
 0.2600    9.3254429E-01    7.9218393E-01    2.4677287E+00
 0.2700    9.6272407E-01    8.8194037E-01    1.6190840E+00
 0.2800    9.9298886E-01    9.7829606E-01    9.2141232E-01
 0.2900    1.0232225E+00    1.0813740E+00    3.4723375E-01
 0.3000    1.0533274E+00    1.1912852E+00   -1.2764157E-01
 0.3100    1.0832325E+00    1.3081421E+00   -5.2410555E-01
 0.3200    1.1128901E+00    1.4320629E+00   -8.5988173E-01
 0.3300    1.1422630E+00    1.5631616E+00   -1.1497450E+00
 0.3400    1.1713065E+00    1.7015247E+00   -1.4057921E+00
 0.3500    1.1999501E+00    1.8471797E+00   -1.6377359E+00
 0.3600    1.2280912E+00    2.0000713E+00   -1.8532149E+00
 0.3700    1.2556108E+00    2.1600727E+00   -2.0581254E+00
 0.3800    1.2824073E+00    2.3270357E+00   -2.2569684E+00
 0.3900    1.3084253E+00    2.5008521E+00   -2.4531748E+00
 0.4000    1.3336540E+00    2.6814706E+00   -2.6493513E+00
 0.4100    1.3580907E+00    2.8688402E+00   -2.8474174E+00
 0.4200    1.3816940E+00    3.0628117E+00   -3.0486654E+00
 0.4300    1.4043653E+00    3.2630735E+00   -3.2538251E+00
 0.4400    1.4259742E+00    3.4691803E+00   -3.4631942E+00
 0.4500    1.4464060E+00    3.6806550E+00   -3.6768189E+00
 0.4600    1.4655940E+00    3.8970791E+00   -3.8946453E+00
 0.4700    1.4835151E+00    4.1181063E+00   -4.1165775E+00
 0.4800    1.5001633E+00    4.3434104E+00   -4.3424597E+00
 0.4900    1.5155300E+00    4.5726353E+00   -4.5720500E+00
 0.5000    1.5296063E+00    4.8053998E+00   -4.8050430E+00
 0.5100    1.5424006E+00    5.0413562E+00   -5.0411409E+00
 0.5200    1.5539555E+00    5.2802577E+00   -5.2801291E+00
 0.5300    1.5643395E+00    5.5219518E+00   -5.5218757E+00
 0.5400    1.5735968E+00    5.7662151E+00   -5.7661705E+00
 0.5500    1.5816665E+00    6.0124318E+00   -6.0124060E+00
 0.5600    1.5883294E+00    6.2593103E+00   -6.2592955E+00
 0.5700    1.5932522E+00    6.5049519E+00   -6.5049435E+00
 0.5800    1.5961468E+00    6.7474345E+00   -6.7474297E+00
 0.5900    1.5969588E+00    6.9856623E+00   -6.9856597E+00
 0.6000    1.5959497E+00    7.2199062E+00   -7.2199047E+00
 0.6100    1.5935927E+00    7.4515542E+00   -7.4515534E+00
 0.6200    1.5903310E+00    7.6821145E+00   -7.6821140E+00
 0.6300    1.5863482E+00    7.9120582E+00   -7.9120580E+00
 0.6400    1.5814951E+00    8.1402486E+00   -8.1402485E+00
 0.6500    1.5754135E+00    8.3643298E+00   -8.3643298E+00
 0.6600    1.5677728E+00    8.5818490E+00   -8.5818490E+00
 0.6700    1.5584858E+00    8.7914868E+00   -8.7914867E+00
 0.6800    1.5477928E+00    8.9937438E+00   -8.9937438E+00
 0.6900    1.5361686E+00    9.1906646E+00   -9.1906646E+00
 0.7000    1.5240856E+00    9.3845901E+00   -9.3845901E+00
 0.7100    1.5117599E+00    9.5765570E+00   -9.5765570E+00
 0.7200    1.4990497E+00    9.7654193E+00   -9.7654193E+00
 0.7300    1.4855821E+00    9.9483770E+00   -9.9483770E+00
 0.7400    1.4709939E+00    1.0122416E+01   -1.0122416E+01
 0.7500    1.4550809E+00    1.0285360E+01   -1.0285360E+01
 0.7600    1.4377662E+00    1.0435790E+01   -1.0435790E+01
 0.7700    1.4189934E+00    1.0572354E+01   -1.0572354E+01
 0.7800    1.3987107E+00    1.0693675E+01   -1.0693675E+01
 0.7900    1.3769933E+00    1.0799306E+01   -1.0799306E+01
 0.8000    1.3541858E+00    1.0891009E+01   -1.0891009E+01
 0.8100    1.3309045E+00    1.0973036E+01   -1.0973036E+01
 0.8200    1.3078356E+00    1.1050724E+01   -1.1050724E+01
