# total charge: 13.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    1.8966032E+00    0.0000000E+00    1.0372499E+02
 0.0100    1.8982826E+00    2.3854522E-03    1.0320528E+02
 0.0200    1.9004032E+00    9.5524682E-03    1.0166155E+02
 0.0300    1.9030526E+00    2.1523017E-02    9.9139309E+01
 0.0400    1.9063224E+00    3.8328887E-02    9.5711908E+01
 0.0500    1.9103110E+00    6.0014191E-02    9.1476971E+01
 0.0600    1.9151233E+00    8.6638135E-02    8.6551759E+01
 0.0700    1.9208580E+00    1.1827725E-01    8.1067745E+01
 0.0800    1.9275815E+00    1.5502531E-01    7.5164778E+01
 0.0900    1.9353027E+00    1.9698982E-01    6.8985175E+01
 0.1000    1.9439713E+00    2.4428663E-01    6.2668102E+01
 0.1100    1.9535055E+00    2.9703654E-01    5.6344529E+01
 0.1200    1.9638332E+00    3.5536689E-01    5.0133007E+01
 0.1300    1.9749198E+00    4.1941701E-01    4.4136417E+01
 0.1400    1.9867616E+00    4.8934110E-01    3.8439800E+01
 0.1500    1.9993446E+00    5.6530136E-01    3.3109274E+01
 0.1600    2.0125924E+00    6.4744914E-01    2.8191968E+01
 0.1700    2.0263428E+00    7.3590310E-01    2.3716857E+01
 0.1800    2.0403787E+00    8.3074102E-01    1.9696300E+01
 0.1900    2.0545050E+00    9.3201795E-01    1.6128094E+01
 0.2000    2.0686238E+00    1.0398037E+00    1.2997848E+01
 0.2100    2.0827453E+00    1.1542094E+00    1.0281526E+01
 0.2200    2.0969123E+00    1.2753679E+00    7.9480262E+00
 0.2300    2.1110859E+00    1.4033676E+00    5.9616623E+00
 0.2400    2.1250956E+00    1.5381929E+00    4.2843849E+00
 0.2500    2.1387229E+00    1.6797490E+00    2.8776091E+00
 0.2600    2.1518751E+00    1.8279892E+00    1.7035828E+00
 0.2700    2.1647049E+00    1.9830611E+00    7.2638193E-01
 0.2800    2.1775583E+00    2.1453379E+00   -8.7320506E-02
 0.2900    2.1907677E+00    2.3152729E+00   -7.6761447E-01
 0.3000    2.2044310E+00    2.4931528E+00   -1.3408722E+00
 0.3100    2.2183035E+00    2.6788859E+00   -1.8295129E+00
 0.3200    2.2318400E+00    2.8719236E+00   -2.2520606E+00
 0.3300    2.2443562E+00    3.0713515E+00   -2.6234836E+00
 0.3400    2.2552558E+00    3.2761480E+00   -2.9557710E+00
 0.3500    2.2642481E+00    3.4855391E+00   -3.2586416E+00
 0.3600    2.2714420E+00    3.6992742E+00   -3.5401797E+00
 0.3700    2.2772393E+00    3.9176171E+00   -3.8071742E+00
 0.3800    2.2820615E+00    4.1409921E+00   -4.0650859E+00
 0.3900    2.2860724E+00    4.3694729E+00   -4.3178225E+00
 0.4000    2.2890945E+00    4.6024976E+00   -4.5677017E+00
 0.4100    2.2908274E+00    4.8391596E+00   -4.8159516E+00
 0.4200    2.2912539E+00    5.0790402E+00   -5.0637150E+00
 0.4300    2.2909000E+00    5.3229564E+00   -5.3129372E+00
 0.4400    2.2906243E+00    5.5727438E+00   -5.5662587E+00
 0.4500    2.2909626E+00    5.8297897E+00   -5.8256339E+00
 0.4600    2.2915158E+00    6.0932415E+00   -6.0906049E+00
 0.4700    2.2909691E+00    6.3595269E+00   -6.3578708E+00
 0.4800    2.2878684E+00    6.6240466E+00   -6.6230166E+00
