# total charge: 14.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    3.5337502E+00    0.0000000E+00    1.1170384E+02
 0.0100    3.5338979E+00    4.4408271E-03    1.1114227E+02
 0.0200    3.5340814E+00    1.7764231E-02    1.0947419E+02
 0.0300    3.5343044E+00    3.9972041E-02    1.0674862E+02
 0.0400    3.5345672E+00    7.1066691E-02    1.0304457E+02
 0.0500    3.5348665E+00    1.1105110E-01    9.8467240E+01
 0.0600    3.5351945E+00    1.5992843E-01    9.3142960E+01
 0.0700    3.5355404E+00    2.1770166E-01    8.7213400E+01
 0.0800    3.5358891E+00    2.8437307E-01    8.0829262E+01
 0.0900    3.5362209E+00    3.5994344E-01    7.4143927E+01
 0.1000    3.5365098E+00    4.4441093E-01    6.7307392E+01
 0.1100    3.5367216E+00    5.3776942E-01    6.0460840E+01
 0.1200    3.5368107E+00    6.4000618E-01    5.3732089E+01
 0.1300    3.5367206E+00    7.5109924E-01    4.7232107E+01
 0.1400    3.5363880E+00    8.7101542E-01    4.1052675E+01
 0.1500    3.5357524E+00    9.9971043E-01    3.5265216E+01
 0.1600    3.5347668E+00    1.1371313E+00    2.9920702E+01
 0.1700    3.5334025E+00    1.2832191E+00    2.5050523E+01
 0.1800    3.5316417E+00    1.4379094E+00    2.0668135E+01
 0.1900    3.5294615E+00    1.6011260E+00    1.6771302E+01
 0.2000    3.5268174E+00    1.7727718E+00    1.3344699E+01
 0.2100    3.5236406E+00    1.9527204E+00    1.0362686E+01
 0.2200    3.5198541E+00    2.1408187E+00    7.7920673E+00
 0.2300    3.5153982E+00    2.3368996E+00    5.5946709E+00
 0.2400    3.5102435E+00    2.5407948E+00    3.7296737E+00
 0.2500    3.5043732E+00    2.7523283E+00    2.1555958E+00
 0.2600    3.4977443E+00    2.9712871E+00    8.3194431E-01
 0.2700    3.4902610E+00    3.1973876E+00   -2.7952590E-01
 0.2800    3.4817897E+00    3.4302713E+00   -1.2139448E+00
 0.2900    3.4722102E+00    3.6695420E+00   -2.0028330E+00
 0.3000    3.4614664E+00    3.9148263E+00   -2.6739088E+00
 0.3100    3.4495843E+00    4.1658154E+00   -3.2511060E+00
 0.3200    3.4366455E+00    4.4222629E+00   -3.7547182E+00
 0.3300    3.4227347E+00    4.6839363E+00   -4.2016170E+00
 0.3400    3.4078848E+00    4.9505403E+00   -4.6055190E+00
 0.3500    3.3920465E+00    5.2216499E+00   -4.9772987E+00
 0.3600    3.3751015E+00    5.4966959E+00   -5.3253633E+00
 0.3700    3.3569201E+00    5.7750309E+00   -5.6560925E+00
 0.3800    3.3374320E+00    6.0560504E+00   -5.9743052E+00
 0.3900    3.3166667E+00    6.3392942E+00   -6.2836707E+00
 0.4000    3.2947235E+00    6.6244346E+00   -6.5869621E+00
 0.4100    3.2716686E+00    6.9110954E+00   -6.8861021E+00
 0.4200    3.2474163E+00    7.1985730E+00   -7.1820690E+00
 0.4300    3.2216941E+00    7.4856769E+00   -7.4748870E+00
 0.4400    3.1941707E+00    7.7709362E+00   -7.7639523E+00
 0.4500    3.1647057E+00    8.0531952E+00   -8.0487197E+00
 0.4600    3.1335413E+00    8.3322242E+00   -8.3293848E+00
 0.4700    3.1012421E+00    8.6087729E+00   -8.6069893E+00
 0.4800    3.0683684E+00    8.8838220E+00   -8.8827128E+00
 0.4900    3.0351213E+00    9.1575243E+00   -9.1568414E+00
 0.5000    3.0012732E+00    9.4287779E+00   -9.4283616E+00
 0.5100    2.9664694E+00    9.6959437E+00   -9.6956925E+00
 0.5200    2.9306394E+00    9.9581561E+00   -9.9580060E+00
 0.5300    2.8941396E+00    1.0216005E+01   -1.0215916E+01
 0.5400    2.8574800E+00    1.0470817E+01   -1.0470765E+01
 0.5500    2.8208513E+00    1.0722979E+01   -1.0722948E+01
 0.5600    2.7838399E+00    1.0970595E+01   -1.0970578E+01
 0.5700    2.7455714E+00    1.1209657E+01   -1.1209647E+01
 0.5800    2.7052056E+00    1.1435789E+01   -1.1435783E+01
 0.5900    2.6624479E+00    1.1646489E+01   -1.1646486E+01
 0.6000    2.6177307E+00    1.1842335E+01   -1.1842333E+01
 0.6100    2.5719492E+00    1.2026297E+01   -1.2026296E+01
 0.6200    2.5259436E+00    1.2201603E+01   -1.2201603E+01
 0.6300    2.4800763E+00    1.2369610E+01   -1.2369610E+01
 0.6400    2.4341661E+00    1.2529104E+01   -1.2529104E+01
 0.6500    2.3877928E+00    1.2677488E+01   -1.2677488E+01
 0.6600    2.3407344E+00    1.2812972E+01   -1.2812972E+01
 0.6700    2.2932262E+00    1.2936189E+01   -1.2936189E+01
 0.6800    2.2458715E+00    1.3050063E+01   -1.3050063E+01
 0.6900    2.1992868E+00    1.3158001E+01   -1.3158001E+01
 0.7000    2.1537275E+00    1.3261624E+01   -1.3261624E+01
 0.7100    2.1089328E+00    1.3359472E+01   -1.3359472E+01
 0.7200    2.0642740E+00    1.3447520E+01   -1.3447520E+01
 0.7300    2.0191045E+00    1.3521173E+01   -1.3521173E+01
 0.7400    1.9730757E+00    1.3577414E+01   -1.3577414E+01
 0.7500    1.9262125E+00    1.3615594E+01   -1.3615594E+01
 0.7600    1.8787326E+00    1.3636472E+01   -1.3636472E+01
 0.7700    1.8308059E+00    1.3640604E+01   -1.3640604E+01
 0.7800    1.7824908E+00    1.3627819E+01   -1.3627819E+01
 0.7900    1.7338962E+00    1.3598379E+01   -1.3598379E+01
 0.8000    1.6853876E+00    1.3554691E+01   -1.3554691E+01
 0.8100    1.6375944E+00    1.3501631E+01   -1.3501631E+01
 0.8200    1.5911592E+00    1.3444703E+01   -1.3444703E+01
 0.8300    1.5464081E+00    1.3387212E+01   -1.3387212E+01
 0.8400    1.5031853E+00    1.3328490E+01   -1.3328490E+01
 0.8500    1.4609488E+00    1.3264250E+01   -1.3264250E+01
 0.8600    1.4190414E+00    1.3188696E+01   -1.3188696E+01
 0.8700    1.3769796E+00    1.3097122E+01   -1.3097122E+01
 0.8800    1.3346298E+00    1.2987813E+01   -1.2987813E+01
 0.8900    1.2922089E+00    1.2862418E+01   -1.2862418E+01
 0.9000    1.2501269E+00    1.2724742E+01   -1.2724742E+01
 0.9100    1.2087738E+00    1.2578756E+01   -1.2578756E+01
 0.9200    1.1683835E+00    1.2427132E+01   -1.2427132E+01
 0.9300    1.1290370E+00    1.2271112E+01   -1.2271112E+01
 0.9400    1.0907584E+00    1.2111394E+01   -1.2111394E+01
 0.9500    1.0535924E+00    1.1948949E+01   -1.1948949E+01
 0.9600    1.0175940E+00    1.1784927E+01   -1.1784927E+01
 0.9700    9.8275506E-01    1.1619799E+01   -1.1619799E+01
 0.9800    9.4894522E-01    1.1452575E+01   -1.1452575E+01
 0.9900    9.1592656E-01    1.1280826E+01   -1.1280826E+01
 1.0000    8.8343842E-01    1.1101615E+01   -1.1101615E+01
 1.0100    8.5131342E-01    1.0912948E+01   -1.0912948E+01
 1.0200    8.1957180E-01    1.0715124E+01   -1.0715124E+01
 1.0300    7.8844163E-01    1.0511238E+01   -1.0511238E+01
 1.0400    7.5827435E-01    1.0306303E+01   -1.0306303E+01
 1.0500    7.2938411E-01    1.0105196E+01   -1.0105196E+01
 1.0600    7.0190116E-01    9.9105454E+00   -9.9105454E+00
 1.0700    6.7573199E-01    9.7219168E+00   -9.7219168E+00
 1.0800    6.5064362E-01    9.5367533E+00   -9.5367533E+00
 1.0900    6.2639988E-01    9.3522159E+00   -9.3522159E+00
 1.1000    6.0285321E-01    9.1665689E+00   -9.1665689E+00
 1.1100    5.7995079E-01    8.9793927E+00   -8.9793927E+00
 1.1200    5.5768736E-01    8.7909682E+00   -8.7909682E+00
 1.1300    5.3606290E-01    8.6016645E+00   -8.6016645E+00
 1.1400    5.1507422E-01    8.4118085E+00   -8.4118085E+00
 1.1500    4.9472739E-01    8.2218870E+00   -8.2218870E+00
 1.1600    4.7504402E-01    8.0326658E+00   -8.0326658E+00
 1.1700    4.5605155E-01    7.8450465E+00   -7.8450465E+00
 1.1800    4.3776919E-01    7.6598290E+00   -7.6598290E+00
 1.1900    4.2020347E-01    7.4776204E+00   -7.4776204E+00
 1.2000    4.0335333E-01    7.2989100E+00   -7.2989100E+00
 1.2100    3.8721456E-01    7.1241373E+00   -7.1241373E+00
 1.2200    3.7177646E-01    6.9536273E+00   -6.9536273E+00
 1.2300    3.5701593E-01    6.7874663E+00   -6.7874663E+00
 1.2400    3.4289846E-01    6.6255017E+00   -6.6255017E+00
 1.2500    3.2938801E-01    6.4675184E+00   -6.4675184E+00
 1.2600    3.1645726E-01    6.3134395E+00   -6.3134395E+00
 1.2700    3.0408837E-01    6.1633541E+00   -6.1633541E+00
 1.2800    2.9226423E-01    6.0173527E+00   -6.0173527E+00
 1.2900    2.8095985E-01    5.8753474E+00   -5.8753474E+00
 1.3000    2.7014272E-01    5.7370659E+00   -5.7370659E+00
 1.3100    2.5978148E-01    5.6022261E+00   -5.6022261E+00
 1.3200    2.4985469E-01    5.4707294E+00   -5.4707294E+00
 1.3300    2.4035183E-01    5.3426975E+00   -5.3426975E+00
 1.3400    2.3126614E-01    5.2183296E+00   -5.2183296E+00
 1.3500    2.2258610E-01    5.0977138E+00   -5.0977138E+00
 1.3600    2.1429287E-01    4.9807576E+00   -4.9807576E+00
 1.3700    2.0636485E-01    4.8672844E+00   -4.8672844E+00
 1.3800    1.9878435E-01    4.7571870E+00   -4.7571870E+00
 1.3900    1.9154010E-01    4.6504949E+00   -4.6504949E+00
 1.4000    1.8462446E-01    4.5473165E+00   -4.5473165E+00
 1.4100    1.7802963E-01    4.4477500E+00   -4.4477500E+00
 1.4200    1.7174653E-01    4.3518561E+00   -4.3518561E+00
 1.4300    1.6576530E-01    4.2596662E+00   -4.2596662E+00
 1.4400    1.6007358E-01    4.1711374E+00   -4.1711374E+00
 1.4500    1.5465311E-01    4.0860580E+00   -4.0860580E+00
 1.4600    1.4947964E-01    4.0040328E+00   -4.0040328E+00
 1.4700    1.4452798E-01    3.9246097E+00   -3.9246097E+00
 1.4800    1.3977773E-01    3.8474347E+00   -3.8474347E+00
 1.4900    1.3521401E-01    3.7722814E+00   -3.7722814E+00
 1.5000    1.3082391E-01    3.6989589E+00   -3.6989589E+00
 1.5100    1.2659421E-01    3.6272508E+00   -3.6272508E+00
 1.5200    1.2251417E-01    3.5569958E+00   -3.5569958E+00
 1.5300    1.1858160E-01    3.4882694E+00   -3.4882694E+00
 1.5400    1.1480650E-01    3.4215097E+00   -3.4215097E+00
 1.5500    1.1120737E-01    3.3574291E+00   -3.3574291E+00
 1.5600    1.0780009E-01    3.2966906E+00   -3.2966906E+00
 1.5700    1.0458588E-01    3.2395317E+00   -3.2395317E+00
 1.5800    1.0154747E-01    3.1856140E+00   -3.1856140E+00
 1.5900    9.8656292E-02    3.1342159E+00   -3.1342159E+00
 1.6000    9.5884337E-02    3.0845904E+00   -3.0845904E+00
 1.6100    9.3211801E-02    3.0362150E+00   -3.0362150E+00
 1.6200    9.0627553E-02    2.9888227E+00   -2.9888227E+00
 1.6300    8.8126030E-02    2.9423158E+00   -2.9423158E+00
