# total charge: 9.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -1.0747659E+00   -0.0000000E+00    7.1809610E+01
 0.0100   -1.0699682E+00   -1.3445618E-03    7.1452803E+01
 0.0200   -1.0639098E+00   -5.3477942E-03    7.0393033E+01
 0.0300   -1.0563403E+00   -1.1946927E-02    6.8661754E+01
 0.0400   -1.0469960E+00   -2.1051103E-02    6.6309676E+01
 0.0500   -1.0355912E+00   -3.2534058E-02    6.3404293E+01
 0.0600   -1.0218127E+00   -4.6225716E-02    6.0026654E+01
 0.0700   -1.0053462E+00   -6.1904408E-02    5.6267612E+01
 0.0800   -9.8594202E-01   -7.9294162E-02    5.2223774E+01
 0.0900   -9.6348086E-01   -9.8070406E-02    4.7993415E+01
 0.1000   -9.3799351E-01   -1.1787174E-01    4.3672602E+01
 0.1100   -9.0962419E-01   -1.3831116E-01    3.9351703E+01
 0.1200   -8.7856753E-01   -1.5898184E-01    3.5112472E+01
 0.1300   -8.4501686E-01   -1.7945764E-01    3.1025804E+01
 0.1400   -8.0914093E-01   -1.9929211E-01    2.7150236E+01
 0.1500   -7.7108540E-01   -2.1801926E-01    2.3531186E+01
 0.1600   -7.3098615E-01   -2.3515758E-01    2.0200908E+01
 0.1700   -6.8898179E-01   -2.5021622E-01    1.7179050E+01
 0.1800   -6.4521743E-01   -2.6270054E-01    1.4473729E+01
 0.1900   -5.9983907E-01   -2.7211458E-01    1.2082961E+01
 0.2000   -5.5298484E-01   -2.7796050E-01    9.9963345E+00
 0.2100   -5.0478146E-01   -2.7973825E-01    8.1967855E+00
 0.2200   -4.5534873E-01   -2.7694872E-01    6.6623754E+00
 0.2300   -4.0480823E-01   -2.6910072E-01    5.3679675E+00
 0.2400   -3.5328939E-01   -2.5571897E-01    4.2867344E+00
 0.2500   -3.0093033E-01   -2.3635013E-01    3.3914442E+00
 0.2600   -2.4787464E-01   -2.1056620E-01    2.6555007E+00
 0.2700   -1.9426737E-01   -1.7796608E-01    2.0537344E+00
 0.2800   -1.4025207E-01   -1.3817683E-01    1.5629581E+00
 0.2900   -8.5969336E-02   -9.0855125E-02    1.1623110E+00
 0.3000   -3.1556317E-02   -3.5689354E-02    8.3342207E-01
 0.3100    2.2853039E-02    2.7597975E-02    5.6042946E-01
 0.3200    7.7127677E-02    9.9247613E-02    3.2988826E-01
 0.3300    1.3113921E-01    1.7946110E-01    1.3060131E-01
 0.3400    1.8476201E-01    2.6839869E-01   -4.6599235E-02
 0.3500    2.3787364E-01    3.6617801E-01   -2.0909513E-01
 0.3600    2.9035567E-01    4.7287372E-01   -3.6273138E-01
 0.3700    3.4209463E-01    5.8851775E-01   -5.1205730E-01
 0.3800    3.9298223E-01    7.1309924E-01   -6.6054880E-01
 0.3900    4.4291499E-01    8.4656333E-01   -8.1080535E-01
 0.4000    4.9179332E-01    9.8880914E-01   -9.6471970E-01
 0.4100    5.3952133E-01    1.1396886E+00   -1.1236215E+00
 0.4200    5.8600757E-01    1.2990075E+00   -1.2883978E+00
 0.4300    6.3116644E-01    1.4665291E+00   -1.4595927E+00
 0.4400    6.7491928E-01    1.6419769E+00   -1.6374873E+00
 0.4500    7.1719462E-01    1.8250380E+00   -1.8221609E+00
 0.4600    7.5792765E-01    2.0153630E+00   -2.0135376E+00
 0.4700    7.9705942E-01    2.2125662E+00   -2.2114197E+00
 0.4800    8.3453639E-01    2.4162263E+00   -2.4155133E+00
 0.4900    8.7031006E-01    2.6258870E+00   -2.6254480E+00
 0.5000    9.0433715E-01    2.8410590E+00   -2.8407913E+00
 0.5100    9.3658011E-01    3.0612242E+00   -3.0610627E+00
 0.5200    9.6700788E-01    3.2858412E+00   -3.2857447E+00
 0.5300    9.9559630E-01    3.5143489E+00   -3.5142918E+00
 0.5400    1.0223275E+00    3.7461696E+00   -3.7461362E+00
 0.5500    1.0471891E+00    3.9807082E+00   -3.9806888E+00
 0.5600    1.0701731E+00    4.2173528E+00   -4.2173417E+00
 0.5700    1.0912763E+00    4.4554778E+00   -4.4554715E+00
 0.5800    1.1105004E+00    4.6944486E+00   -4.6944450E+00
 0.5900    1.1278526E+00    4.9336263E+00   -4.9336243E+00
 0.6000    1.1433450E+00    5.1723711E+00   -5.1723700E+00
 0.6100    1.1569945E+00    5.4100443E+00   -5.4100437E+00
 0.6200    1.1688223E+00    5.6460110E+00   -5.6460107E+00
 0.6300    1.1788539E+00    5.8796428E+00   -5.8796426E+00
 0.6400    1.1871189E+00    6.1103212E+00   -6.1103211E+00
 0.6500    1.1936510E+00    6.3374411E+00   -6.3374410E+00
 0.6600    1.1984872E+00    6.5604122E+00   -6.5604122E+00
 0.6700    1.2016680E+00    6.7786620E+00   -6.7786619E+00
 0.6800    1.2032371E+00    6.9916374E+00   -6.9916374E+00
 0.6900    1.2032408E+00    7.1988081E+00   -7.1988081E+00
 0.7000    1.2017283E+00    7.3996677E+00   -7.3996677E+00
 0.7100    1.1987509E+00    7.5937363E+00   -7.5937363E+00
 0.7200    1.1943623E+00    7.7805615E+00   -7.7805615E+00
 0.7300    1.1886179E+00    7.9597208E+00   -7.9597208E+00
 0.7400    1.1815746E+00    8.1308223E+00   -8.1308223E+00
 0.7500    1.1732910E+00    8.2935053E+00   -8.2935053E+00
 0.7600    1.1638262E+00    8.4474413E+00   -8.4474413E+00
 0.7700    1.1532405E+00    8.5923347E+00   -8.5923347E+00
 0.7800    1.1415946E+00    8.7279245E+00   -8.7279245E+00
 0.7900    1.1289501E+00    8.8539855E+00   -8.8539855E+00
 0.8000    1.1153688E+00    8.9703279E+00   -8.9703279E+00
 0.8100    1.1009122E+00    9.0767964E+00   -9.0767964E+00
 0.8200    1.0856418E+00    9.1732692E+00   -9.1732692E+00
 0.8300    1.0696184E+00    9.2596570E+00   -9.2596570E+00
 0.8400    1.0529018E+00    9.3359028E+00   -9.3359028E+00
 0.8500    1.0355515E+00    9.4019821E+00   -9.4019821E+00
 0.8600    1.0176257E+00    9.4579025E+00   -9.4579025E+00
 0.8700    9.9918177E-01    9.5037034E+00   -9.5037034E+00
 0.8800    9.8027586E-01    9.5394540E+00   -9.5394540E+00
 0.8900    9.6096273E-01    9.5652521E+00   -9.5652521E+00
 0.9000    9.4129568E-01    9.5812230E+00   -9.5812230E+00
 0.9100    9.2132643E-01    9.5875177E+00   -9.5875177E+00
 0.9200    9.0110509E-01    9.5843125E+00   -9.5843125E+00
 0.9300    8.8068003E-01    9.5718064E+00   -9.5718064E+00
 0.9400    8.6009771E-01    9.5502197E+00   -9.5502197E+00
 0.9500    8.3940266E-01    9.5197911E+00   -9.5197911E+00
 0.9600    8.1863741E-01    9.4807766E+00   -9.4807766E+00
 0.9700    7.9784249E-01    9.4334488E+00   -9.4334488E+00
 0.9800    7.7705654E-01    9.3780951E+00   -9.3780951E+00
 0.9900    7.5631623E-01    9.3150175E+00   -9.3150175E+00
 1.0000    7.3565635E-01    9.2445303E+00   -9.2445303E+00
 1.0100    7.1510975E-01    9.1669595E+00   -9.1669595E+00
 1.0200    6.9470742E-01    9.0826409E+00   -9.0826409E+00
 1.0300    6.7447847E-01    8.9919193E+00   -8.9919193E+00
 1.0400    6.5445016E-01    8.8951468E+00   -8.8951468E+00
 1.0500    6.3464796E-01    8.7926817E+00   -8.7926817E+00
 1.0600    6.1509561E-01    8.6848880E+00   -8.6848880E+00
 1.0700    5.9581522E-01    8.5721353E+00   -8.5721353E+00
 1.0800    5.7682751E-01    8.4548000E+00   -8.4548000E+00
 1.0900    5.5815181E-01    8.3332651E+00   -8.3332651E+00
 1.1000    5.3980618E-01    8.2079195E+00   -8.2079195E+00
 1.1100    5.2180728E-01    8.0791553E+00   -8.0791553E+00
 1.1200    5.0417037E-01    7.9473662E+00   -7.9473662E+00
 1.1300    4.8690933E-01    7.8129465E+00   -7.8129465E+00
 1.1400    4.7003683E-01    7.6762914E+00   -7.6762914E+00
 1.1500    4.5356438E-01    7.5377979E+00   -7.5377979E+00
 1.1600    4.3750247E-01    7.3978641E+00   -7.3978641E+00
 1.1700    4.2186038E-01    7.2568865E+00   -7.2568865E+00
 1.1800    4.0664601E-01    7.1152537E+00   -7.1152537E+00
 1.1900    3.9186541E-01    6.9733380E+00   -6.9733380E+00
 1.2000    3.7752245E-01    6.8314852E+00   -6.8314852E+00
 1.2100    3.6361842E-01    6.6900056E+00   -6.6900056E+00
 1.2200    3.5015196E-01    6.5491673E+00   -6.5491673E+00
 1.2300    3.3711912E-01    6.4091948E+00   -6.4091948E+00
 1.2400    3.2451373E-01    6.2702710E+00   -6.2702710E+00
 1.2500    3.1232789E-01    6.1325437E+00   -6.1325437E+00
 1.2600    3.0055250E-01    5.9961336E+00   -5.9961336E+00
 1.2700    2.8917781E-01    5.8611423E+00   -5.8611423E+00
 1.2800    2.7819379E-01    5.7276600E+00   -5.7276600E+00
 1.2900    2.6759040E-01    5.5957695E+00   -5.5957695E+00
 1.3000    2.5735767E-01    5.4655477E+00   -5.4655477E+00
 1.3100    2.4748568E-01    5.3370654E+00   -5.3370654E+00
 1.3200    2.3796454E-01    5.2103869E+00   -5.2103869E+00
 1.3300    2.2878445E-01    5.0855702E+00   -5.0855702E+00
 1.3400    2.1993570E-01    4.9626677E+00   -4.9626677E+00
 1.3500    2.1140869E-01    4.8417263E+00   -4.8417263E+00
 1.3600    2.0319396E-01    4.7227883E+00   -4.7227883E+00
 1.3700    1.9528224E-01    4.6058920E+00   -4.6058920E+00
 1.3800    1.8766449E-01    4.4910732E+00   -4.4910732E+00
 1.3900    1.8033191E-01    4.3783658E+00   -4.3783658E+00
 1.4000    1.7327593E-01    4.2678011E+00   -4.2678011E+00
 1.4100    1.6648812E-01    4.1594064E+00   -4.1594064E+00
 1.4200    1.5996016E-01    4.0532033E+00   -4.0532033E+00
 1.4300    1.5368379E-01    3.9492080E+00   -3.9492080E+00
 1.4400    1.4765087E-01    3.8474312E+00   -3.8474312E+00
 1.4500    1.4185340E-01    3.7478795E+00   -3.7478795E+00
 1.4600    1.3628355E-01    3.6505560E+00   -3.6505560E+00
