# total charge: 10.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -2.4365446E+00   -0.0000000E+00    7.9788456E+01
 0.0100   -2.4275549E+00   -3.0505554E-03    7.9393560E+01
 0.0200   -2.4162035E+00   -1.2145163E-02    7.8220684E+01
 0.0300   -2.4020221E+00   -2.7166230E-02    7.6304729E+01
 0.0400   -2.3845188E+00   -4.7943595E-02    7.3701972E+01
 0.0500   -2.3631612E+00   -7.4240898E-02    7.0487306E+01
 0.0600   -2.3373667E+00   -1.0573998E-01    6.6750661E+01
 0.0700   -2.3065529E+00   -1.4202649E-01    6.2592813E+01
 0.0800   -2.2702594E+00   -1.8258509E-01    5.8120896E+01
 0.0900   -2.2282710E+00   -2.2681037E-01    5.3443860E+01
 0.1000   -2.1806548E+00   -2.7402916E-01    4.8668174E+01
 0.1100   -2.1276901E+00   -3.2352184E-01    4.3893957E+01
 0.1200   -2.0697513E+00   -3.7453336E-01    3.9211744E+01
 0.1300   -2.0072105E+00   -4.2627462E-01    3.4699993E+01
 0.1400   -1.9403944E+00   -4.7792083E-01    3.0423414E+01
 0.1500   -1.8695873E+00   -5.2861335E-01    2.6432132E+01
 0.1600   -1.7950547E+00   -5.7746747E-01    2.2761634E+01
 0.1700   -1.7170670E+00   -6.2358397E-01    1.9433399E+01
 0.1800   -1.6359057E+00   -6.6605966E-01    1.6456091E+01
 0.1900   -1.5518539E+00   -7.0399228E-01    1.3827155E+01
 0.2000   -1.4651809E+00   -7.3648027E-01    1.1534674E+01
 0.2100   -1.3761359E+00   -7.6262280E-01    9.5593420E+00
 0.2200   -1.2849559E+00   -7.8152604E-01    7.8764446E+00
 0.2300   -1.1918810E+00   -7.9231599E-01    6.4577235E+00
 0.2400   -1.0971646E+00   -7.9415290E-01    5.2730590E+00
 0.2500   -1.0010743E+00   -7.8624190E-01    4.2919020E+00
 0.2600   -9.0388567E-01   -7.6783881E-01    3.4844327E+00
 0.2700   -8.0587551E-01   -7.3825322E-01    2.8224402E+00
 0.2800   -7.0731712E-01   -6.9685127E-01    2.2799416E+00
 0.2900   -6.0847829E-01   -6.4305918E-01    1.8335657E+00
 0.3000   -5.0962054E-01   -5.7636725E-01    1.4627369E+00
 0.3100   -4.1099892E-01   -4.9633389E-01    1.1496977E+00
 0.3200   -3.1286188E-01   -4.0258952E-01    8.7940716E-01
 0.3300   -2.1545125E-01   -2.9484024E-01    6.3935403E-01
 0.3400   -1.1900222E-01   -1.7287125E-01    4.1931508E-01
 0.3500   -2.3742827E-02   -3.6549242E-02    2.1108578E-01
 0.3600    7.0107472E-02    1.1417714E-01    8.2032433E-03
 0.3700    1.6233950E-01    2.7927850E-01   -1.9432245E-01
 0.3800    2.5275516E-01    4.5864546E-01   -4.0025607E-01
 0.3900    3.4116661E-01    6.5208708E-01   -6.1235598E-01
 0.4000    4.2739447E-01    8.5932756E-01   -8.3256151E-01
 0.4100    5.1126712E-01    1.0800042E+00   -1.0621519E+00
 0.4200    5.9262194E-01    1.3136697E+00   -1.3018811E+00
 0.4300    6.7130787E-01    1.5597986E+00   -1.5520915E+00
 0.4400    7.4718761E-01    1.8177949E+00   -1.8128064E+00
 0.4500    8.2013824E-01    2.0869976E+00   -2.0838009E+00
 0.4600    8.9005042E-01    2.3666832E+00   -2.3646551E+00
 0.4700    9.5682721E-01    2.6560674E+00   -2.6547935E+00
 0.4800    1.0203830E+00    2.9543065E+00   -2.9535143E+00
 0.4900    1.0806427E+00    3.2604996E+00   -3.2600118E+00
 0.5000    1.1375415E+00    3.5736920E+00   -3.5733947E+00
 0.5100    1.1910256E+00    3.8928826E+00   -3.8927032E+00
 0.5200    1.2410537E+00    4.2170343E+00   -4.2169271E+00
 0.5300    1.2875981E+00    4.5450842E+00   -4.5450208E+00
 0.5400    1.3306437E+00    4.8759490E+00   -4.8759119E+00
 0.5500    1.3701860E+00    5.2085253E+00   -5.2085037E+00
 0.5600    1.4062299E+00    5.5416902E+00   -5.5416778E+00
 0.5700    1.4387890E+00    5.8743077E+00   -5.8743007E+00
 0.5800    1.4678871E+00    6.2052389E+00   -6.2052349E+00
 0.5900    1.4935584E+00    6.5333524E+00   -6.5333502E+00
 0.6000    1.5158473E+00    6.8575317E+00   -6.8575305E+00
 0.6100    1.5348075E+00    7.1766776E+00   -7.1766769E+00
 0.6200    1.5505000E+00    7.4897101E+00   -7.4897097E+00
 0.6300    1.5629932E+00    7.7955730E+00   -7.7955728E+00
 0.6400    1.5723625E+00    8.0932416E+00   -8.0932415E+00
 0.6500    1.5786912E+00    8.3817318E+00   -8.3817318E+00
 0.6600    1.5820695E+00    8.6601075E+00   -8.6601074E+00
 0.6700    1.5825944E+00    8.9274841E+00   -8.9274841E+00
 0.6800    1.5803685E+00    9.1830311E+00   -9.1830311E+00
 0.6900    1.5754991E+00    9.4259734E+00   -9.4259734E+00
 0.7000    1.5680974E+00    9.6555936E+00   -9.6555936E+00
 0.7100    1.5582783E+00    9.8712371E+00   -9.8712371E+00
 0.7200    1.5461604E+00    1.0072317E+01   -1.0072317E+01
 0.7300    1.5318656E+00    1.0258320E+01   -1.0258320E+01
 0.7400    1.5155187E+00    1.0428807E+01   -1.0428807E+01
 0.7500    1.4972467E+00    1.0583414E+01   -1.0583414E+01
 0.7600    1.4771775E+00    1.0721850E+01   -1.0721850E+01
 0.7700    1.4554393E+00    1.0843898E+01   -1.0843898E+01
 0.7800    1.4321605E+00    1.0949411E+01   -1.0949411E+01
 0.7900    1.4074688E+00    1.1038316E+01   -1.1038316E+01
 0.8000    1.3814913E+00    1.1110613E+01   -1.1110613E+01
 0.8100    1.3543544E+00    1.1166375E+01   -1.1166375E+01
 0.8200    1.3261832E+00    1.1205754E+01   -1.1205754E+01
 0.8300    1.2971017E+00    1.1228974E+01   -1.1228974E+01
 0.8400    1.2672316E+00    1.1236329E+01   -1.1236329E+01
 0.8500    1.2366923E+00    1.1228180E+01   -1.1228180E+01
 0.8600    1.2056001E+00    1.1204953E+01   -1.1204953E+01
 0.8700    1.1740679E+00    1.1167130E+01   -1.1167130E+01
 0.8800    1.1422055E+00    1.1115256E+01   -1.1115256E+01
 0.8900    1.1101192E+00    1.1049929E+01   -1.1049929E+01
 0.9000    1.0779115E+00    1.0971803E+01   -1.0971803E+01
 0.9100    1.0456809E+00    1.0881577E+01   -1.0881577E+01
 0.9200    1.0135219E+00    1.0779997E+01   -1.0779997E+01
 0.9300    9.8152466E-01    1.0667852E+01   -1.0667852E+01
 0.9400    9.4977545E-01    1.0545970E+01   -1.0545970E+01
 0.9500    9.1835609E-01    1.0415214E+01   -1.0415214E+01
 0.9600    8.8734348E-01    1.0276473E+01   -1.0276473E+01
 0.9700    8.5680897E-01    1.0130651E+01   -1.0130651E+01
 0.9800    8.2681757E-01    9.9786482E+00   -9.9786482E+00
 0.9900    7.9742707E-01    9.8213509E+00   -9.8213509E+00
 1.0000    7.6868695E-01    9.6596052E+00   -9.6596052E+00
 1.0100    7.4063736E-01    9.4941968E+00   -9.4941968E+00
 1.0200    7.1330857E-01    9.3258333E+00   -9.3258333E+00
 1.0300    6.8672121E-01    9.1551355E+00   -9.1551355E+00
 1.0400    6.6088734E-01    8.9826396E+00   -8.9826396E+00
 1.0500    6.3581191E-01    8.8088076E+00   -8.8088076E+00
 1.0600    6.1149446E-01    8.6340413E+00   -8.6340413E+00
 1.0700    5.8793067E-01    8.4586984E+00   -8.4586984E+00
 1.0800    5.6511362E-01    8.2831047E+00   -8.2831047E+00
 1.0900    5.4303462E-01    8.1075639E+00   -8.1075639E+00
 1.1000    5.2168370E-01    7.9323616E+00   -7.9323616E+00
 1.1100    5.0104980E-01    7.7577667E+00   -7.7577667E+00
 1.1200    4.8112086E-01    7.5840310E+00   -7.5840310E+00
 1.1300    4.6188397E-01    7.4113896E+00   -7.4113896E+00
 1.1400    4.4332550E-01    7.2400618E+00   -7.2400618E+00
 1.1500    4.2543132E-01    7.0702539E+00   -7.0702539E+00
 1.1600    4.0818704E-01    6.9021605E+00   -6.9021605E+00
 1.1700    3.9157796E-01    6.7359651E+00   -6.7359651E+00
 1.1800    3.7558914E-01    6.5718389E+00   -6.5718389E+00
 1.1900    3.6020529E-01    6.4099386E+00   -6.4099386E+00
 1.2000    3.4541080E-01    6.2504067E+00   -6.2504067E+00
 1.2100    3.3118992E-01    6.0933722E+00   -6.0933722E+00
 1.2200    3.1752683E-01    5.9389538E+00   -5.9389538E+00
 1.2300    3.0440581E-01    5.7872603E+00   -5.7872603E+00
 1.2400    2.9181120E-01    5.6383911E+00   -5.6383911E+00
 1.2500    2.7972737E-01    5.4924341E+00   -5.4924341E+00
 1.2600    2.6813866E-01    5.3494655E+00   -5.3494655E+00
