# total charge: 11.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -9.8018258E-01   -0.0000000E+00    8.7767302E+01
 0.0100   -9.7272199E-01   -1.2223585E-03    8.7330783E+01
 0.0200   -9.6330327E-01   -4.8420904E-03    8.6034235E+01
 0.0300   -9.5154018E-01   -1.0761666E-02    8.3916081E+01
 0.0400   -9.3702903E-01   -1.8840086E-02    8.1038271E+01
 0.0500   -9.1933545E-01   -2.8881775E-02    7.7483254E+01
 0.0600   -8.9798635E-01   -4.0623946E-02    7.3350037E+01
 0.0700   -8.7251141E-01   -5.3725078E-02    6.8749590E+01
 0.0800   -8.4254349E-01   -6.7761368E-02    6.3799903E+01
 0.0900   -8.0792064E-01   -8.2236305E-02    5.8620991E+01
 0.1000   -7.6871635E-01   -9.6599746E-02    5.3330159E+01
 0.1100   -7.2518170E-01   -1.1026611E-01    4.8037745E+01
 0.1200   -6.7764607E-01   -1.2262394E-01    4.2843556E+01
 0.1300   -6.2643503E-01   -1.3303705E-01    3.7834127E+01
 0.1400   -5.7183474E-01   -1.4084339E-01    3.3080886E+01
 0.1500   -5.1410005E-01   -1.4535837E-01    2.8639229E+01
 0.1600   -4.5348542E-01   -1.4588585E-01    2.4548469E+01
 0.1700   -3.9027110E-01   -1.4173402E-01    2.0832531E+01
 0.1800   -3.2476253E-01   -1.3222720E-01    1.7501262E+01
 0.1900   -2.5726118E-01   -1.1670550E-01    1.4552185E+01
 0.2000   -1.8803023E-01   -9.4514302E-02    1.1972527E+01
 0.2100   -1.1728370E-01   -6.4995923E-02    9.7413870E+00
 0.2200   -4.5205945E-02   -2.7494814E-02    7.8319052E+00
 0.2300    2.8017560E-02    1.8624982E-02    6.2133233E+00
 0.2400    1.0218031E-01    7.3960452E-02    4.8528362E+00
 0.2500    1.7705051E-01    1.3905514E-01    3.7171710E+00
 0.2600    2.5237313E-01    2.1438761E-01    2.7738656E+00
 0.2700    3.2787258E-01    3.0036027E-01    1.9922454E+00
 0.2800    4.0326172E-01    3.9729484E-01    1.3441045E+00
 0.2900    4.7826457E-01    5.0544520E-01    8.0411194E-01
 0.3000    5.5264500E-01    6.2502677E-01    3.4997988E-01
 0.3100    6.2621779E-01    7.5623827E-01   -3.7538076E-02
 0.3200    6.9882309E-01    8.9924301E-01   -3.7474360E-01
 0.3300    7.7027572E-01    1.0541052E+00   -6.7514003E-01
